Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Avg best at iteration,Avg best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.10,2,850,2.26,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.20,4,425,0.64,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.30,6,283,0.58,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.40,7,242,0.32,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.50,9,188,0.10,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.60,11,154,0.10,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.70,12,141,0.16,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,14,121,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.90,16,106,0.02,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,1.00,17,100,0.04,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.10,2,850,5.96,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.20,4,425,1.94,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.30,6,283,1.10,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.40,7,242,0.60,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.50,9,188,0.70,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.60,11,154,0.52,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.70,12,141,0.38,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.80,14,121,0.28,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.90,16,106,0.38,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,1.00,17,100,0.26,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.10,2,850,6.48,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.20,4,425,3.14,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.30,6,283,1.44,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.40,7,242,1.30,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.50,9,188,0.86,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.60,11,154,0.62,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.70,12,141,0.74,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,14,121,0.38,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.90,16,106,0.36,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,1.00,17,100,0.34,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.10,2,850,6.92,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.20,4,425,3.74,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.30,6,283,1.76,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.40,7,242,1.32,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.50,9,188,1.12,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.60,11,154,0.84,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.70,12,141,0.70,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,14,121,0.50,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.90,16,106,0.54,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,1.00,17,100,0.34,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.10,2,850,7.66,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.20,4,425,2.48,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.30,6,283,2.28,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.40,7,242,1.32,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.50,9,188,1.04,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.60,11,154,1.08,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.70,12,141,0.68,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,14,121,0.30,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.90,16,106,0.46,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,1.00,17,100,0.22,0.00,100.00,0
