Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Local search ants fraction,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.25,0.80,14,0.00,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,14,0.00,121,0,0.10,1,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,14,0.00,121,0,0.10,1,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,14,0.00,121,0,0.20,1,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,14,0.00,121,0,0.20,2,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,14,0.50,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.80,14,0.50,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,14,0.50,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,14,0.50,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,14,0.50,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.00,0.80,14,1.00,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.50,0.80,14,1.00,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.75,0.80,14,1.00,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,1.00,0.80,14,1.00,121,0,0.00,0,0,0.00,0,0.00,0.00,0.00,100.00,0
1.00,5.00,0.80,0.05,0.25,0.80,14,1.00,121,0,0.10,1,0,0.00,0,0.00,0.00,0.00,100.00,0
