Metric,Value
Instance,code198
Dimension,198
Unique found-optimal tours,2717
Unique found-optimal edges,27191
Found-optimal edge density [%],69.71
Cycle cover cost,4537.000000
Cycle cover gap to known optimum [%],0.09
Cycle cover cycles,4
Cycle cover min cycle length,2
Cycle cover avg cycle length,49.500000
Cycle cover max cycle length,181
Cycle cover edges,198
Cycle cover edge density [%],0.51
Cycle cover found-optimal edges,194
Cycle cover edges not seen in found-optimal tours,4
Cycle cover precision vs found-optimal edges [%],97.98
Cycle cover recall vs found-optimal edges [%],0.71
Cycle cover lift vs found-optimal edge density,1.405539
High MSA support threshold,1.000000
High MSA support edges,187
High MSA support edge density [%],0.48
High MSA support found-optimal edges,71
High MSA support edges not seen in found-optimal tours,116
High MSA support precision vs found-optimal edges [%],37.97
High MSA support recall vs found-optimal edges [%],0.26
High MSA support lift vs found-optimal edge density,0.544657
Cycle cover positive-MSA support edges,12
Cycle cover positive-MSA support edge density [%],0.03
Cycle cover positive-MSA support found-optimal edges,11
Cycle cover positive-MSA support edges not seen in found-optimal tours,1
Cycle cover positive-MSA support precision vs found-optimal edges [%],91.67
Cycle cover positive-MSA support recall vs found-optimal edges [%],0.04
Cycle cover positive-MSA support lift vs found-optimal edge density,1.314976
Cycle cover high-MSA support edges,2
Cycle cover high-MSA support edge density [%],0.01
Cycle cover high-MSA support found-optimal edges,1
Cycle cover high-MSA support edges not seen in found-optimal tours,1
Cycle cover high-MSA support precision vs found-optimal edges [%],50.00
Cycle cover high-MSA support recall vs found-optimal edges [%],0.00
Cycle cover high-MSA support lift vs found-optimal edge density,0.717259
Cycle cover edges with positive MSA support,12
Cycle cover positive-MSA support share [%],6.06
Cycle cover edges with high MSA support,2
Cycle cover high-MSA support share [%],1.01
High-MSA support edges removed by cycle-cover gate,185
High-MSA support found-optimal edges removed by cycle-cover gate,70
High-MSA support precision gain from cycle-cover gate,0.120321
High-MSA support recall loss from cycle-cover gate,0.002574
Found-optimal edges in both cycle cover and high MSA support,1
Found-optimal edges in cycle cover but not high MSA support,193
Found-optimal edges in high MSA support but not cycle cover,70
Found-optimal edges in neither cycle cover nor high MSA support,26927
