From,To,Distance,MSA support,Normalized MSA support,High MSA support,Found-optimal edge
0,2,0.000000,197.000000,1.000000,true,true
1,0,0.000000,2.000000,0.010152,false,true
2,1,0.000000,197.000000,1.000000,true,false
3,5,10.000000,2.000000,0.010152,false,true
4,195,4.000000,0.000000,0.000000,false,true
5,6,0.000000,3.000000,0.015228,false,true
6,7,0.000000,0.000000,0.000000,false,true
7,8,0.000000,0.000000,0.000000,false,true
8,9,3210.000000,1.000000,0.005076,false,true
9,10,5.000000,0.000000,0.000000,false,true
10,11,0.000000,0.000000,0.000000,false,true
11,12,0.000000,0.000000,0.000000,false,true
12,18,0.000000,1.000000,0.005076,false,true
13,17,0.000000,3.000000,0.015228,false,true
14,4,0.000000,0.000000,0.000000,false,true
15,16,10.000000,1.000000,0.005076,false,true
16,188,0.000000,2.000000,0.010152,false,true
17,13,0.000000,0.000000,0.000000,false,false
18,19,0.000000,0.000000,0.000000,false,true
19,197,0.000000,0.000000,0.000000,false,false
20,14,0.000000,0.000000,0.000000,false,true
21,28,5.000000,1.000000,0.005076,false,true
22,24,0.000000,0.000000,0.000000,false,true
23,15,0.000000,0.000000,0.000000,false,true
24,26,0.000000,0.000000,0.000000,false,true
25,20,0.000000,0.000000,0.000000,false,true
26,27,0.000000,0.000000,0.000000,false,true
27,187,0.000000,0.000000,0.000000,false,true
28,29,0.000000,0.000000,0.000000,false,true
29,31,0.000000,0.000000,0.000000,false,true
30,21,0.000000,0.000000,0.000000,false,true
31,33,0.000000,0.000000,0.000000,false,true
32,22,0.000000,0.000000,0.000000,false,true
33,35,0.000000,0.000000,0.000000,false,true
34,23,0.000000,0.000000,0.000000,false,true
35,36,0.000000,0.000000,0.000000,false,true
36,25,2.000000,0.000000,0.000000,false,true
37,30,0.000000,0.000000,0.000000,false,true
38,32,0.000000,0.000000,0.000000,false,true
39,34,0.000000,0.000000,0.000000,false,true
40,37,0.000000,0.000000,0.000000,false,true
41,38,0.000000,0.000000,0.000000,false,true
42,39,0.000000,0.000000,0.000000,false,true
43,40,0.000000,0.000000,0.000000,false,true
44,41,0.000000,0.000000,0.000000,false,true
45,42,0.000000,0.000000,0.000000,false,true
46,43,0.000000,0.000000,0.000000,false,true
47,44,0.000000,0.000000,0.000000,false,true
48,45,0.000000,0.000000,0.000000,false,true
49,46,0.000000,0.000000,0.000000,false,true
50,47,0.000000,0.000000,0.000000,false,true
51,48,0.000000,0.000000,0.000000,false,true
52,49,0.000000,0.000000,0.000000,false,true
53,50,0.000000,0.000000,0.000000,false,true
54,51,0.000000,0.000000,0.000000,false,true
55,52,0.000000,0.000000,0.000000,false,true
56,53,0.000000,0.000000,0.000000,false,true
57,54,0.000000,0.000000,0.000000,false,true
58,55,0.000000,0.000000,0.000000,false,true
59,56,0.000000,0.000000,0.000000,false,true
60,57,0.000000,0.000000,0.000000,false,true
61,58,0.000000,0.000000,0.000000,false,true
62,59,0.000000,0.000000,0.000000,false,true
63,60,0.000000,0.000000,0.000000,false,true
64,61,0.000000,0.000000,0.000000,false,true
65,62,0.000000,0.000000,0.000000,false,true
66,63,0.000000,0.000000,0.000000,false,true
67,64,0.000000,0.000000,0.000000,false,true
68,65,0.000000,0.000000,0.000000,false,true
69,66,0.000000,0.000000,0.000000,false,true
70,67,0.000000,0.000000,0.000000,false,true
71,68,0.000000,0.000000,0.000000,false,true
72,69,0.000000,0.000000,0.000000,false,true
73,70,0.000000,0.000000,0.000000,false,true
74,71,0.000000,0.000000,0.000000,false,true
75,72,0.000000,0.000000,0.000000,false,true
76,73,0.000000,0.000000,0.000000,false,true
77,74,0.000000,0.000000,0.000000,false,true
78,75,0.000000,0.000000,0.000000,false,true
79,76,0.000000,0.000000,0.000000,false,true
80,77,0.000000,0.000000,0.000000,false,true
81,78,0.000000,0.000000,0.000000,false,true
82,79,0.000000,0.000000,0.000000,false,true
83,80,0.000000,0.000000,0.000000,false,true
84,81,0.000000,0.000000,0.000000,false,true
85,82,0.000000,0.000000,0.000000,false,true
