Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.200000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.300000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.400000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.500000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.600000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.700000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.800000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
0.900000,197,36.55,0.26,0.524291,2,50.00,0.00,0.717259,195,71,0.134518,0.002611,1.02,1.39
1.000000,187,37.97,0.26,0.544657,2,50.00,0.00,0.717259,185,70,0.120321,0.002574,1.07,1.41
