Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,197,0.51,36.55,0.26,0.524291,125
0.200000,197,0.51,36.55,0.26,0.524291,125
0.300000,197,0.51,36.55,0.26,0.524291,125
0.400000,197,0.51,36.55,0.26,0.524291,125
0.500000,197,0.51,36.55,0.26,0.524291,125
0.600000,197,0.51,36.55,0.26,0.524291,125
0.700000,197,0.51,36.55,0.26,0.524291,125
0.800000,197,0.51,36.55,0.26,0.524291,125
0.900000,197,0.51,36.55,0.26,0.524291,125
1.000000,187,0.48,37.97,0.26,0.544657,116
