Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,5000,1,17.47,53,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,1,22.00,163,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,0,343.87,4701,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,3,14.40,41,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,1.00,5000,0,18.33,62,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,0.30,5000,2,47.70,728,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,0.20,5000,0,143.03,2661,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,0.00,5000,1,29.47,122,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.60,5000,2,41.90,783,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.70,5000,0,18.97,63,0,0.00,0,0.00,0.01,0.07,90.00
1.00,2.00,0.80,0.80,5000,2,13.57,30,0,0.00,0,0.00,0.01,0.07,86.67
