Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,5000,4,10.50,22,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,3,12.50,21,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,5000,1,12.50,46,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,1,13.50,25,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,5,17.00,31,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,5000,2,17.10,65,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,5000,0,17.60,53,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,2,18.10,68,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,9,36.70,230,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,12,29.80,108,0,0.00,0,0.00,0.00,0.02,90.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
