Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,5000,0,59.27,1254,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,1,150.63,3616,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.40,5000,1,13.93,43,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,0.30,5000,1,50.63,1084,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,1.00,5000,1,13.70,39,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.60,5000,0,21.57,145,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.00,5000,1,29.47,122,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.70,5000,0,51.07,687,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.50,5000,0,16.00,81,0,0.00,0,0.00,0.00,0.07,90.00
1.00,2.00,0.80,0.80,5000,4,19.83,91,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.20,5000,3,29.30,252,0,0.00,0,0.00,0.00,0.07,93.33
