Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,3,18.80,65,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,0,24.37,266,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,6,25.13,102,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,5000,1,16.50,66,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.50,5000,2,146.40,3775,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.40,5000,2,143.97,3301,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,0.70,5000,1,18.00,101,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,0.10,5000,3,174.83,4430,0,0.00,0,0.00,0.00,0.07,96.67
1.00,2.00,0.80,0.80,5000,0,25.00,204,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.60,5000,0,26.67,351,0,0.00,0,0.00,0.00,0.07,93.33
1.00,2.00,0.80,0.00,5000,1,29.47,122,0,0.00,0,0.00,0.00,0.07,93.33
