Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,5000,2,10.40,29,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,5000,1,12.90,22,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,5000,9,18.50,49,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,5000,8,64.30,440,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,7,244.20,2285,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,2,259.80,2458,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,3,437.30,4288,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,5,97.30,872,0,0.00,0,0.00,0.00,0.02,90.00
1.00,2.00,0.80,0.90,5000,5,120.40,1005,0,0.00,0,0.00,0.01,0.07,90.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
1.00,2.00,0.80,0.50,5000,2,13.20,27,0,0.00,0,0.00,0.01,0.07,80.00
