Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5000,1,9.40,15,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,0,10.30,18,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,1,10.40,28,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,5000,1,12.70,45,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,4,12.70,27,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,0,14.30,38,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,5000,4,20.40,53,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,5000,4,15.70,34,0,0.00,0,0.00,0.00,0.02,80.00
1.00,2.00,0.80,1.00,5000,1,9.80,20,0,0.00,0,0.00,0.01,0.07,90.00
1.00,2.00,0.80,0.20,5000,1,18.50,44,0,0.00,0,0.00,0.01,0.09,90.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
