Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,5000,1,10.60,28,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,5000,2,14.20,30,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,1,15.00,30,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,3,15.00,37,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,5000,1,16.00,36,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,2,16.60,47,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,5000,5,17.20,27,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,7,19.20,86,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,5,20.30,91,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,2,15.60,43,0,0.00,0,0.00,0.00,0.02,90.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
