Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,5000,3,11.90,22,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,5000,2,13.40,25,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,7,13.50,23,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,5000,0,13.50,34,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,2,14.00,24,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,2,14.70,49,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,2,15.00,48,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,2,19.50,31,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,2,21.40,81,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.10,5000,1,17.10,53,0,0.00,0,0.00,0.00,0.02,80.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
