Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,3,11.07,31,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,0,12.73,32,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.80,5000,0,15.00,42,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,5000,1,16.17,92,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,3,17.03,50,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,0,18.23,63,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,0,101.67,2589,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,3,16.63,77,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.30,5000,2,23.00,198,0,0.00,0,0.00,0.00,0.02,96.67
1.00,2.00,0.80,0.10,5000,0,169.60,4464,0,0.00,0,0.00,0.00,0.02,93.33
1.00,2.00,0.80,0.00,5000,1,29.47,122,0,0.00,0,0.00,0.00,0.07,93.33
