Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,1,12.10,20,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.70,5000,0,12.70,29,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.60,5000,7,13.00,20,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.30,5000,3,13.10,26,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.50,5000,3,13.40,29,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.40,5000,1,15.50,30,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,1.00,5000,0,17.30,58,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.20,5000,5,21.80,76,0,0.00,0,0.00,0.00,0.00,100.00
1.00,2.00,0.80,0.90,5000,7,14.80,26,0,0.00,0,0.00,0.00,0.02,90.00
1.00,2.00,0.80,0.10,5000,4,12.50,19,0,0.00,0,0.00,0.01,0.07,80.00
1.00,2.00,0.80,0.00,5000,1,22.50,62,0,0.00,0,0.00,0.01,0.07,80.00
