Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,112,1.13,42.86,48.00,42.428571,64
0.200000,103,1.04,42.72,44.00,42.291262,59
0.300000,102,1.03,43.14,44.00,42.705882,58
0.400000,100,1.01,43.00,43.00,42.570000,57
0.500000,100,1.01,43.00,43.00,42.570000,57
0.600000,100,1.01,43.00,43.00,42.570000,57
0.700000,97,0.98,43.30,42.00,42.865979,55
0.800000,95,0.96,44.21,42.00,43.768421,53
0.900000,87,0.88,45.98,40.00,45.517241,47
1.000000,56,0.57,53.57,30.00,53.035714,26
