Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,5000,1016,2523.20,3536,0,0.00,0,1.26,3.11,8.95,0.00
1.00,2.00,0.80,0.00,5000,1510,2989.40,4827,0,0.00,0,0.56,3.29,7.28,0.00
1.00,2.00,0.80,0.50,5000,464,2105.30,4128,0,0.00,0,0.80,3.42,5.92,0.00
1.00,2.00,0.80,0.10,5000,394,1881.70,4131,0,0.00,0,0.92,4.43,9.86,0.00
1.00,2.00,0.80,0.60,5000,428,2757.80,4508,0,0.00,0,2.01,4.55,8.79,0.00
1.00,2.00,0.80,0.40,5000,114,1689.60,4819,0,0.00,0,1.04,5.03,8.65,0.00
1.00,2.00,0.80,0.30,5000,306,2504.20,4967,0,0.00,0,1.50,5.35,8.51,0.00
1.00,2.00,0.80,0.70,5000,190,1586.10,3934,0,0.00,0,2.43,6.44,10.31,0.00
1.00,2.00,0.80,0.90,5000,360,1898.60,4854,0,0.00,0,0.94,6.51,11.36,0.00
1.00,2.00,0.80,0.80,5000,175,1996.80,4717,0,0.00,0,1.21,7.57,10.97,0.00
1.00,2.00,0.80,1.00,5000,138,2101.10,4973,0,0.00,0,3.14,8.80,12.04,0.00
