Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,270,2512.10,4937,0,0.00,0,0.00,2.69,10.82,3.33
1.00,2.00,0.80,0.20,5000,519,3004.93,4997,0,0.00,0,0.11,3.03,9.92,0.00
1.00,2.00,0.80,0.50,5000,244,2765.53,4908,0,0.00,0,0.00,3.34,9.13,6.67
1.00,2.00,0.80,0.70,5000,540,2972.73,4844,0,0.00,0,0.00,3.39,10.42,13.33
1.00,2.00,0.80,0.40,5000,500,3195.47,4960,0,0.00,0,0.78,3.52,10.06,0.00
1.00,2.00,0.80,0.60,5000,295,2691.90,4853,0,0.00,0,0.00,3.86,10.94,6.67
1.00,2.00,0.80,0.90,5000,182,2994.67,4964,0,0.00,0,0.00,3.97,10.74,13.33
1.00,2.00,0.80,0.80,5000,331,2671.73,4886,0,0.00,0,0.43,4.10,10.66,0.00
1.00,2.00,0.80,0.10,5000,297,2994.87,4978,0,0.00,0,0.00,4.12,9.75,3.33
1.00,2.00,0.80,0.30,5000,111,2548.77,4910,0,0.00,0,0.56,4.29,10.55,0.00
1.00,2.00,0.80,0.00,5000,470,2597.03,4954,0,0.00,0,0.56,4.54,10.04,0.00
