Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5000,578,2878.07,4957,0,0.00,0,0.00,2.30,8.25,10.00
1.00,2.00,0.80,0.90,5000,215,2756.83,4929,0,0.00,0,0.30,2.36,6.22,0.00
1.00,2.00,0.80,0.80,5000,505,2797.63,4895,0,0.00,0,0.00,2.69,9.85,13.33
1.00,2.00,0.80,0.70,5000,693,2520.23,4972,0,0.00,0,0.00,2.79,8.86,3.33
1.00,2.00,0.80,0.60,5000,332,2885.57,4853,0,0.00,0,0.00,2.99,8.11,3.33
1.00,2.00,0.80,0.20,5000,720,2821.97,4874,0,0.00,0,0.43,3.14,10.51,0.00
1.00,2.00,0.80,0.30,5000,204,2505.20,4965,0,0.00,0,0.68,3.14,9.28,0.00
1.00,2.00,0.80,1.00,5000,419,2418.83,4730,0,0.00,0,0.00,3.17,8.22,3.33
1.00,2.00,0.80,0.10,5000,263,2522.60,4777,0,0.00,0,0.00,3.43,9.72,13.33
1.00,2.00,0.80,0.50,5000,99,2508.13,4997,0,0.00,0,0.00,3.80,11.65,6.67
1.00,2.00,0.80,0.00,5000,470,2597.03,4954,0,0.00,0,0.56,4.54,10.04,0.00
