Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Local search ants fraction,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.50,0.80,80,1.00,6250,3563,4498.10,5216,0,216070418.00,86376551,0.00,0.07,0.22,60.00,14860
1.00,5.00,0.80,0.05,0.75,0.80,80,0.50,6250,4138,5005.50,5994,0,300667883.00,55876786,0.00,0.14,0.24,10.00,12270
1.00,5.00,0.80,0.05,0.50,0.80,80,0.50,6250,2493,4491.60,6076,0,169452714.00,42307549,0.00,0.16,0.37,30.00,10656
1.00,5.00,0.80,0.05,0.25,0.80,80,0.50,6250,510,2483.80,4561,0,128890528.00,33199155,0.00,0.16,0.37,30.00,8461
1.00,5.00,0.80,0.05,0.75,0.80,80,1.00,6250,3946,5116.30,6231,0,499823561.00,111257240,0.00,0.16,0.37,20.00,18854
1.00,5.00,0.80,0.05,1.00,0.80,80,1.00,6250,4709,5416.90,6199,0,563513603.00,122427589,0.00,0.16,0.38,10.00,20669
1.00,5.00,0.80,0.05,1.00,0.80,80,0.50,6250,4492,5511.50,6154,0,271299162.00,60202366,0.00,0.18,0.47,20.00,13057
1.00,5.00,0.80,0.05,0.00,0.80,80,1.00,6250,1025,2597.10,4979,0,107870167.00,28461458,0.00,0.22,0.86,40.00,7673
1.00,5.00,0.80,0.05,0.00,0.80,80,0.50,6250,326,2467.20,5477,0,91315902.00,18143880,0.00,0.23,0.89,10.00,6786
1.00,5.00,0.80,0.05,0.25,0.80,80,1.00,6250,383,2007.40,5401,0,181216374.00,50073530,0.00,0.33,2.82,40.00,10716
1.00,5.00,0.80,0.05,0.25,0.80,80,0.00,6250,4633,5692.10,6088,0,0.00,0,2.02,5.08,9.48,0.00,5341
1.00,5.00,0.80,0.05,1.00,0.80,80,0.00,6250,4706,5915.10,6235,0,0.00,0,2.32,5.58,8.57,0.00,5613
1.00,5.00,0.80,0.05,0.50,0.80,80,0.00,6250,3980,5341.30,6224,0,0.00,0,3.55,5.59,7.89,0.00,5464
1.00,5.00,0.80,0.05,0.00,0.80,80,0.00,6250,2895,4909.90,6183,0,0.00,0,1.84,5.75,8.72,0.00,5154
1.00,5.00,0.80,0.05,0.75,0.80,80,0.00,6250,4081,5631.10,6229,0,0.00,0,3.29,5.94,8.12,0.00,5630
