Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,575,2625.00,4856,0,0.00,0,0.71,2.78,4.91,0.00
1.00,2.00,0.80,0.40,5000,678,3411.30,4883,0,0.00,0,0.00,3.01,6.48,10.00
1.00,2.00,0.80,0.90,5000,1268,3544.00,4987,0,0.00,0,0.24,3.16,7.59,0.00
1.00,2.00,0.80,0.70,5000,1315,2571.90,4324,0,0.00,0,1.45,3.67,6.62,0.00
1.00,2.00,0.80,0.20,5000,1384,3571.60,4970,0,0.00,0,1.14,3.69,6.21,0.00
1.00,2.00,0.80,0.00,5000,471,3712.00,4991,0,0.00,0,0.00,3.78,9.31,10.00
1.00,2.00,0.80,0.50,5000,729,3072.30,4990,0,0.00,0,0.82,3.87,9.32,0.00
1.00,2.00,0.80,0.30,5000,601,2410.30,4891,0,0.00,0,1.10,3.90,8.32,0.00
1.00,2.00,0.80,0.60,5000,469,2803.30,4695,0,0.00,0,1.71,3.92,5.93,0.00
1.00,2.00,0.80,1.00,5000,1270,3985.10,4981,0,0.00,0,0.79,4.21,10.69,0.00
1.00,2.00,0.80,0.10,5000,243,2666.70,4735,0,0.00,0,0.73,4.84,10.95,0.00
