Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.10,5000,660,3167.40,4978,0,0.00,0,0.55,2.33,6.08,0.00
1.00,2.00,0.80,0.90,5000,2931,4218.10,4805,0,0.00,0,0.30,2.57,6.74,0.00
1.00,2.00,0.80,0.30,5000,63,2929.50,4890,0,0.00,0,1.45,3.41,11.95,0.00
1.00,2.00,0.80,0.00,5000,471,3712.00,4991,0,0.00,0,0.00,3.78,9.31,10.00
1.00,2.00,0.80,0.60,5000,151,3268.60,4893,0,0.00,0,0.55,3.80,8.78,0.00
1.00,2.00,0.80,0.80,5000,875,3582.50,4818,0,0.00,0,0.81,4.03,7.50,0.00
1.00,2.00,0.80,0.70,5000,644,3088.40,4962,0,0.00,0,0.82,4.04,9.08,0.00
1.00,2.00,0.80,1.00,5000,2137,3234.80,3916,0,0.00,0,1.37,4.07,10.12,0.00
1.00,2.00,0.80,0.40,5000,762,2946.30,4404,0,0.00,0,0.00,4.14,7.39,10.00
1.00,2.00,0.80,0.50,5000,2180,3902.00,4933,0,0.00,0,0.85,4.40,9.27,0.00
1.00,2.00,0.80,0.20,5000,960,3163.90,4863,0,0.00,0,0.82,5.61,12.68,0.00
