Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,1184,3145.30,4822,0,0.00,0,0.13,1.28,3.85,0.00
1.00,2.00,0.80,0.60,5000,1728,3764.60,4977,0,0.00,0,0.23,1.75,4.26,0.00
1.00,2.00,0.80,0.50,5000,781,3038.40,4950,0,0.00,0,0.00,1.75,4.70,10.00
1.00,2.00,0.80,0.20,5000,607,2802.30,4654,0,0.00,0,0.36,1.80,3.33,0.00
1.00,2.00,0.80,0.40,5000,469,2759.70,4927,0,0.00,0,0.00,1.89,3.97,10.00
1.00,2.00,0.80,0.30,5000,758,2954.30,4866,0,0.00,0,0.13,1.90,6.35,0.00
1.00,2.00,0.80,1.00,5000,522,2134.10,4030,0,0.00,0,0.32,1.95,3.97,0.00
1.00,2.00,0.80,0.70,5000,712,2786.70,4899,0,0.00,0,0.26,2.37,3.64,0.00
1.00,2.00,0.80,0.80,5000,1179,3176.60,4862,0,0.00,0,0.43,2.92,6.84,0.00
1.00,2.00,0.80,0.00,5000,159,3020.40,4732,0,0.00,0,0.52,3.29,6.76,0.00
1.00,2.00,0.80,0.10,5000,1047,3195.30,4874,0,0.00,0,2.65,3.68,6.51,0.00
