Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,0.00,5000,113,2318.77,4996,0,0.00,0,0.51,1.88,4.30,0.00
1.00,2.00,0.80,0.90,0.00,5000,164,2327.30,4983,0,0.00,0,0.42,1.93,4.25,0.00
1.00,2.00,0.80,0.40,0.25,5000,653,2166.70,4184,0,0.00,0,0.00,2.14,4.25,6.67
1.00,2.00,0.80,0.30,0.00,5000,464,2517.87,4827,0,0.00,0,0.33,2.17,4.07,0.00
1.00,2.00,0.80,0.80,0.25,5000,458,2437.73,4672,0,0.00,0,0.18,2.19,5.23,0.00
1.00,2.00,0.80,1.00,0.00,5000,62,1714.67,4988,0,0.00,0,0.83,2.21,3.37,0.00
1.00,2.00,0.80,0.60,0.25,5000,124,2629.03,4893,0,0.00,0,0.35,2.21,4.72,0.00
1.00,2.00,0.80,0.70,0.00,5000,123,2217.37,4857,0,0.00,0,0.83,2.27,4.69,0.00
1.00,2.00,0.80,0.70,0.50,5000,1000,3060.53,4996,0,0.00,0,0.13,2.27,5.74,0.00
1.00,2.00,0.80,0.70,0.75,5000,1000,3060.53,4996,0,0.00,0,0.13,2.27,5.74,0.00
1.00,2.00,0.80,0.50,1.00,5000,457,2834.43,4973,0,0.00,0,0.13,2.33,5.55,0.00
1.00,2.00,0.80,0.50,0.25,5000,560,2774.73,4897,0,0.00,0,0.18,2.37,6.06,0.00
1.00,2.00,0.80,0.40,0.00,5000,284,2127.00,4974,0,0.00,0,0.42,2.38,5.11,0.00
1.00,2.00,0.80,0.60,0.00,5000,230,2415.97,4824,0,0.00,0,0.42,2.39,4.63,0.00
1.00,2.00,0.80,0.30,0.50,5000,589,2891.13,4768,0,0.00,0,0.42,2.41,4.70,0.00
1.00,2.00,0.80,0.30,0.75,5000,589,2891.13,4768,0,0.00,0,0.42,2.41,4.70,0.00
1.00,2.00,0.80,0.50,0.00,5000,551,2618.03,4986,0,0.00,0,0.46,2.43,4.68,0.00
1.00,2.00,0.80,0.70,1.00,5000,396,2819.90,4947,0,0.00,0,0.18,2.56,5.68,0.00
1.00,2.00,0.80,0.60,1.00,5000,466,2871.33,4925,0,0.00,0,0.36,2.65,4.39,0.00
1.00,2.00,0.80,0.30,1.00,5000,235,2842.57,4863,0,0.00,0,0.00,2.65,9.69,3.33
1.00,2.00,0.80,0.50,0.50,5000,566,2988.60,4989,0,0.00,0,0.18,2.67,7.97,0.00
1.00,2.00,0.80,0.50,0.75,5000,566,2988.60,4989,0,0.00,0,0.18,2.67,7.97,0.00
1.00,2.00,0.80,0.40,0.50,5000,762,2601.67,4841,0,0.00,0,0.00,2.67,5.96,3.33
1.00,2.00,0.80,0.40,0.75,5000,762,2601.67,4841,0,0.00,0,0.00,2.67,5.96,3.33
1.00,2.00,0.80,0.90,0.25,5000,215,2678.33,4932,0,0.00,0,0.39,2.73,6.27,0.00
1.00,2.00,0.80,0.70,0.25,5000,287,2807.63,4979,0,0.00,0,0.48,2.73,5.68,0.00
1.00,2.00,0.80,0.20,0.50,5000,502,2988.47,4852,0,0.00,0,0.00,2.75,6.24,3.33
1.00,2.00,0.80,0.20,0.75,5000,502,2988.47,4852,0,0.00,0,0.00,2.75,6.24,3.33
1.00,2.00,0.80,0.60,0.50,5000,742,2888.20,4957,0,0.00,0,0.32,2.78,5.24,0.00
1.00,2.00,0.80,0.60,0.75,5000,742,2888.20,4957,0,0.00,0,0.32,2.78,5.24,0.00
1.00,2.00,0.80,0.20,0.00,5000,470,2881.70,4997,0,0.00,0,0.62,2.83,7.68,0.00
1.00,2.00,0.80,1.00,0.50,5000,235,2464.77,4792,0,0.00,0,0.00,2.84,5.32,3.33
1.00,2.00,0.80,1.00,0.75,5000,235,2464.77,4792,0,0.00,0,0.00,2.84,5.32,3.33
1.00,2.00,0.80,0.20,1.00,5000,787,3193.00,4779,0,0.00,0,0.00,2.87,7.49,3.33
1.00,2.00,0.80,0.30,0.25,5000,590,3123.47,4867,0,0.00,0,0.13,2.88,6.08,0.00
1.00,2.00,0.80,0.10,1.00,5000,596,2825.60,4822,0,0.00,0,0.23,2.92,6.79,0.00
1.00,2.00,0.80,0.90,0.50,5000,476,2469.33,4928,0,0.00,0,0.32,2.92,6.05,0.00
1.00,2.00,0.80,0.90,0.75,5000,476,2469.33,4928,0,0.00,0,0.32,2.92,6.05,0.00
1.00,2.00,0.80,0.40,1.00,5000,326,2871.10,4893,0,0.00,0,0.38,3.00,6.63,0.00
1.00,2.00,0.80,0.20,0.25,5000,834,3136.47,4694,0,0.00,0,0.33,3.04,6.97,0.00
1.00,2.00,0.80,0.80,1.00,5000,366,2442.40,4995,0,0.00,0,0.36,3.09,5.04,0.00
