Metric,Value
Instance,crane66_0
Dimension,66
Unique found-optimal tours,1
Unique found-optimal edges,66
Raw MSA support found-optimal edge coverage [%],69.70
Threshold MSA support threshold,0.800000
Threshold MSA support edges,58
Threshold MSA support precision [%],51.72
Threshold MSA support recall [%],45.45
Threshold MSA support lift,33.620690
Top MSA support edges,65
Top MSA support precision [%],46.15
Top MSA support recall [%],45.45
Top MSA support lift,30.000000
Top MSA support avg tour coverage [%],45.45
Top MSA support best tour coverage [%],45.45
