Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,500,50,280.80,475,0,0.00,0,1.14,3.73,5.85,0.00
1.00,2.00,0.80,0.60,500,74,271.80,448,0,0.00,0,1.12,3.81,10.88,0.00
1.00,2.00,0.80,0.40,500,77,272.00,491,0,0.00,0,1.36,4.04,7.63,0.00
1.00,2.00,0.80,0.90,500,86,228.50,308,0,0.00,0,2.15,4.28,6.68,0.00
1.00,2.00,0.80,0.20,500,138,217.40,353,0,0.00,0,1.94,4.30,6.20,0.00
1.00,2.00,0.80,0.30,500,38,244.40,489,0,0.00,0,1.49,4.36,7.57,0.00
1.00,2.00,0.80,0.10,500,144,302.20,468,0,0.00,0,0.58,4.54,8.26,0.00
1.00,2.00,0.80,0.70,500,82,304.90,481,0,0.00,0,2.54,4.55,7.55,0.00
1.00,2.00,0.80,1.00,500,106,301.90,480,0,0.00,0,2.23,4.74,7.13,0.00
1.00,2.00,0.80,0.50,500,106,259.80,498,0,0.00,0,1.92,4.92,8.40,0.00
1.00,2.00,0.80,0.00,500,123,248.00,482,0,0.00,0,2.35,5.10,8.61,0.00
