Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,500,114,266.20,472,0,0.00,0,1.44,4.25,5.72,0.00
1.00,2.00,0.80,0.80,500,73,251.00,489,0,0.00,0,1.25,4.41,7.01,0.00
1.00,2.00,0.80,0.50,500,89,269.00,479,0,0.00,0,2.22,4.47,10.28,0.00
1.00,2.00,0.80,0.70,500,79,244.10,474,0,0.00,0,0.95,4.68,8.19,0.00
1.00,2.00,0.80,0.10,500,126,369.20,494,0,0.00,0,1.19,4.83,9.71,0.00
1.00,2.00,0.80,0.40,500,96,209.30,403,0,0.00,0,1.27,4.88,7.74,0.00
1.00,2.00,0.80,0.00,500,123,248.00,482,0,0.00,0,2.35,5.10,8.61,0.00
1.00,2.00,0.80,0.30,500,95,253.30,482,0,0.00,0,2.83,5.26,6.68,0.00
1.00,2.00,0.80,0.20,500,109,346.60,493,0,0.00,0,0.23,5.32,10.60,0.00
1.00,2.00,0.80,0.60,500,104,280.60,451,0,0.00,0,0.96,5.41,9.69,0.00
1.00,2.00,0.80,0.90,500,64,254.10,415,0,0.00,0,2.68,6.07,8.56,0.00
