Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,500,112,267.87,474,0,0.00,0,0.80,4.08,7.28,0.00
1.00,2.00,0.80,0.90,500,125,306.50,488,0,0.00,0,0.71,4.23,10.24,0.00
1.00,2.00,0.80,0.80,500,51,328.93,497,0,0.00,0,0.59,4.25,11.69,0.00
1.00,2.00,0.80,0.60,500,51,254.13,484,0,0.00,0,0.43,4.41,12.04,0.00
1.00,2.00,0.80,0.70,500,126,299.70,499,0,0.00,0,0.74,4.42,8.58,0.00
1.00,2.00,0.80,1.00,500,73,297.97,492,0,0.00,0,0.99,4.47,11.40,0.00
1.00,2.00,0.80,0.50,500,146,334.13,499,0,0.00,0,0.97,4.52,9.98,0.00
1.00,2.00,0.80,0.10,500,111,311.13,499,0,0.00,0,0.56,4.87,11.97,0.00
1.00,2.00,0.80,0.20,500,117,289.03,491,0,0.00,0,0.85,5.11,10.02,0.00
1.00,2.00,0.80,0.40,500,52,293.70,491,0,0.00,0,1.44,5.13,11.29,0.00
1.00,2.00,0.80,0.00,500,86,283.37,482,0,0.00,0,0.47,5.38,11.53,0.00
