From,To,Distance,CMSA,Normalized CMSA,High CMSA,Found-optimal edge
0,46,100269.000000,65.000000,1.000000,true,true
1,60,113367.000000,1.000000,0.015385,false,true
2,64,64642.000000,9.000000,0.138462,false,true
3,52,64549.000000,0.000000,0.000000,false,true
4,37,11726.000000,65.000000,1.000000,true,true
5,2,66781.000000,65.000000,1.000000,true,true
6,16,108059.000000,0.000000,0.000000,false,false
7,24,18191.000000,65.000000,1.000000,true,true
8,13,70323.000000,2.000000,0.030769,false,false
9,47,52578.000000,1.000000,0.015385,false,true
10,6,41490.000000,65.000000,1.000000,true,true
11,51,34134.000000,2.000000,0.030769,false,true
12,29,100272.000000,65.000000,1.000000,true,true
13,8,84740.000000,64.000000,0.984615,false,true
14,42,34321.000000,65.000000,1.000000,true,true
15,53,57805.000000,0.000000,0.000000,false,false
16,33,34021.000000,65.000000,1.000000,true,true
17,5,36955.000000,65.000000,1.000000,true,true
18,45,24769.000000,65.000000,1.000000,true,false
19,49,124943.000000,1.000000,0.015385,false,true
20,10,99481.000000,0.000000,0.000000,false,true
21,62,99235.000000,58.000000,0.892308,false,false
22,15,52813.000000,33.000000,0.507692,false,true
23,4,137552.000000,1.000000,0.015385,false,false
24,36,77409.000000,16.000000,0.246154,false,true
25,11,72404.000000,1.000000,0.015385,false,true
26,34,97080.000000,0.000000,0.000000,false,false
27,14,35033.000000,63.000000,0.969231,false,true
28,17,25411.000000,61.000000,0.938462,false,true
29,12,123321.000000,1.000000,0.015385,false,false
30,26,20824.000000,65.000000,1.000000,true,true
31,9,132605.000000,0.000000,0.000000,false,false
32,35,77600.000000,5.000000,0.076923,false,false
33,55,60590.000000,65.000000,1.000000,true,false
34,30,93532.000000,1.000000,0.015385,false,true
35,32,36369.000000,61.000000,0.938462,false,false
36,27,51033.000000,61.000000,0.938462,false,true
37,23,110255.000000,0.000000,0.000000,false,true
38,43,82921.000000,65.000000,1.000000,true,true
39,63,55783.000000,11.000000,0.169231,false,false
40,54,77847.000000,65.000000,1.000000,true,true
41,59,79961.000000,62.000000,0.953846,false,true
42,7,167779.000000,0.000000,0.000000,false,false
43,38,193186.000000,0.000000,0.000000,false,false
44,18,169583.000000,0.000000,0.000000,false,false
45,44,146632.000000,0.000000,0.000000,false,false
46,0,115642.000000,0.000000,0.000000,false,false
47,31,13099.000000,65.000000,1.000000,true,true
48,56,56021.000000,65.000000,1.000000,true,true
49,57,61276.000000,2.000000,0.030769,false,true
50,1,64046.000000,65.000000,1.000000,true,true
51,25,71890.000000,65.000000,1.000000,true,false
52,3,55637.000000,0.000000,0.000000,false,false
53,22,121811.000000,0.000000,0.000000,false,false
54,40,117195.000000,0.000000,0.000000,false,false
55,58,136217.000000,0.000000,0.000000,false,false
56,48,89417.000000,1.000000,0.015385,false,false
57,19,103915.000000,65.000000,1.000000,true,false
58,61,158008.000000,1.000000,0.015385,false,false
59,41,141559.000000,0.000000,0.000000,false,false
60,50,48497.000000,62.000000,0.953846,false,false
61,20,27682.000000,55.000000,0.846154,false,true
62,21,101598.000000,8.000000,0.123077,false,true
63,39,57396.000000,55.000000,0.846154,false,false
64,65,68289.000000,57.000000,0.876923,false,false
65,28,16830.000000,65.000000,1.000000,true,true
