Threshold,High MSA support edges,High MSA support density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-MSA support edges not seen in found-optimal tours
0.100000,80,1.86,38.75,46.97,25.187500,49
0.200000,71,1.66,39.44,42.42,25.633803,43
0.300000,68,1.59,39.71,40.91,25.808824,41
0.400000,67,1.56,38.81,39.39,25.223881,41
0.500000,66,1.54,39.39,39.39,25.606061,40
0.600000,63,1.47,39.68,37.88,25.793651,38
0.700000,63,1.47,39.68,37.88,25.793651,38
0.800000,61,1.42,40.98,37.88,26.639344,36
0.900000,53,1.24,45.28,36.36,29.433962,29
1.000000,33,0.77,54.55,27.27,35.454545,15
