Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,500,271,408.07,496,0,0.00,0,0.00,2.36,7.04,10.00
1.00,2.00,0.80,0.70,500,133,362.10,493,0,0.00,0,0.00,2.65,10.08,6.67
1.00,2.00,0.80,0.20,500,136,353.27,491,0,0.00,0,0.00,2.74,6.62,6.67
1.00,2.00,0.80,0.40,500,109,349.30,493,0,0.00,0,0.12,2.89,7.00,0.00
1.00,2.00,0.80,0.00,500,134,348.17,499,0,0.00,0,0.00,2.94,7.61,6.67
1.00,2.00,0.80,0.80,500,121,351.87,487,0,0.00,0,0.00,2.99,7.57,3.33
1.00,2.00,0.80,0.10,500,83,340.27,496,0,0.00,0,0.48,3.07,7.13,0.00
1.00,2.00,0.80,0.90,500,144,384.13,491,0,0.00,0,0.00,3.10,6.70,3.33
1.00,2.00,0.80,0.50,500,156,351.17,479,0,0.00,0,0.00,3.11,7.91,3.33
1.00,2.00,0.80,0.30,500,82,351.53,487,0,0.00,0,0.40,3.37,9.61,0.00
1.00,2.00,0.80,1.00,500,87,352.80,499,0,0.00,0,0.39,3.49,7.22,0.00
