Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.20,500,237,390.30,496,0,0.00,0,0.31,2.64,5.74,0.00
1.00,2.00,0.80,0.40,500,120,392.70,499,0,0.00,0,0.26,2.69,6.82,0.00
1.00,2.00,0.80,0.90,500,208,394.43,497,0,0.00,0,0.30,2.86,6.94,0.00
1.00,2.00,0.80,0.00,500,134,348.17,499,0,0.00,0,0.00,2.94,7.61,6.67
1.00,2.00,0.80,0.50,500,138,388.07,497,0,0.00,0,0.00,2.96,6.88,6.67
1.00,2.00,0.80,1.00,500,230,424.73,498,0,0.00,0,0.90,3.14,6.59,0.00
1.00,2.00,0.80,0.70,500,123,350.33,495,0,0.00,0,0.00,3.20,7.51,3.33
1.00,2.00,0.80,0.30,500,180,366.13,496,0,0.00,0,0.74,3.22,6.87,0.00
1.00,2.00,0.80,0.80,500,101,400.90,498,0,0.00,0,0.83,3.32,10.07,0.00
1.00,2.00,0.80,0.10,500,128,370.83,498,0,0.00,0,0.30,3.33,8.88,0.00
1.00,2.00,0.80,0.60,500,116,375.33,497,0,0.00,0,0.44,3.59,9.59,0.00
