Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,500,170,356.30,489,0,0.00,0,0.30,2.25,5.25,0.00
1.00,2.00,0.80,0.60,500,202,397.60,497,0,0.00,0,0.00,2.57,5.77,10.00
1.00,2.00,0.80,0.50,500,93,326.50,469,0,0.00,0,0.51,2.63,4.68,0.00
1.00,2.00,0.80,0.20,500,182,367.20,482,0,0.00,0,0.40,2.69,4.90,0.00
1.00,2.00,0.80,0.70,500,181,391.10,480,0,0.00,0,0.00,2.91,6.44,30.00
1.00,2.00,0.80,0.00,500,206,352.10,467,0,0.00,0,0.68,3.06,7.61,0.00
1.00,2.00,0.80,0.90,500,275,397.50,490,0,0.00,0,0.00,3.14,9.09,10.00
1.00,2.00,0.80,0.80,500,56,320.70,470,0,0.00,0,0.31,3.26,8.07,0.00
1.00,2.00,0.80,1.00,500,109,331.60,490,0,0.00,0,0.85,3.70,5.92,0.00
1.00,2.00,0.80,0.10,500,171,351.60,495,0,0.00,0,1.20,3.87,7.07,0.00
1.00,2.00,0.80,0.30,500,138,343.30,488,0,0.00,0,1.56,4.11,7.43,0.00
