Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,500,273,415.60,495,0,0.00,0,0.00,0.96,4.96,20.00
1.00,2.00,0.80,0.60,500,198,343.10,485,0,0.00,0,0.30,1.33,3.23,0.00
1.00,2.00,0.80,1.00,500,220,387.50,494,0,0.00,0,0.30,2.17,6.83,0.00
1.00,2.00,0.80,0.30,500,122,354.40,463,0,0.00,0,0.00,2.24,6.29,10.00
1.00,2.00,0.80,0.90,500,286,429.80,499,0,0.00,0,0.42,2.41,5.61,0.00
1.00,2.00,0.80,0.50,500,179,363.60,488,0,0.00,0,0.30,2.51,8.10,0.00
1.00,2.00,0.80,0.80,500,182,374.20,485,0,0.00,0,0.00,2.67,6.89,10.00
1.00,2.00,0.80,0.10,500,284,384.00,487,0,0.00,0,0.51,2.84,6.04,0.00
1.00,2.00,0.80,0.40,500,100,386.10,493,0,0.00,0,0.30,3.01,6.61,0.00
1.00,2.00,0.80,0.00,500,206,352.10,467,0,0.00,0,0.68,3.06,7.61,0.00
1.00,2.00,0.80,0.20,500,220,356.70,494,0,0.00,0,0.91,3.19,5.54,0.00
