Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,78,1.82,52.56,62.12,34.166667,37
0.200000,72,1.68,56.94,62.12,37.013889,31
0.300000,68,1.59,57.35,59.09,37.279412,29
0.400000,67,1.56,58.21,59.09,37.835821,28
0.500000,66,1.54,57.58,57.58,37.424242,28
0.600000,64,1.49,57.81,56.06,37.578125,27
0.700000,62,1.45,59.68,56.06,38.790323,25
0.800000,60,1.40,61.67,56.06,40.083333,23
0.900000,53,1.24,58.49,46.97,38.018868,22
1.000000,38,0.89,73.68,42.42,47.894737,10
