Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,78,52.56,62.12,34.166667,35,71.43,37.88,46.428571,43,16,0.188645,0.242424,44.87,60.98
0.200000,72,56.94,62.12,37.013889,34,73.53,37.88,47.794118,38,16,0.165850,0.242424,47.22,60.98
0.300000,68,57.35,59.09,37.279412,32,75.00,36.36,48.750000,36,15,0.176471,0.227273,47.06,61.54
0.400000,67,58.21,59.09,37.835821,31,77.42,36.36,50.322581,36,15,0.192104,0.227273,46.27,61.54
0.500000,66,57.58,57.58,37.424242,31,77.42,36.36,50.322581,35,14,0.198436,0.212121,46.97,63.16
0.600000,64,57.81,56.06,37.578125,30,80.00,36.36,52.000000,34,13,0.221875,0.196970,46.88,64.86
0.700000,62,59.68,56.06,38.790323,30,80.00,36.36,52.000000,32,13,0.203226,0.196970,48.39,64.86
0.800000,60,61.67,56.06,40.083333,29,82.76,36.36,53.793103,31,13,0.210920,0.196970,48.33,64.86
0.900000,53,58.49,46.97,38.018868,25,80.00,30.30,52.000000,28,11,0.215094,0.166667,47.17,64.52
1.000000,38,73.68,42.42,47.894737,23,82.61,28.79,53.695652,15,9,0.089245,0.136364,60.53,67.86
