Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,500,252,376.20,498,0,0.00,0,0.23,2.66,5.25,0.00
1.00,2.00,0.80,0.90,500,139,289.10,426,0,0.00,0,0.00,2.92,5.62,10.00
1.00,2.00,0.80,0.70,500,114,345.20,486,0,0.00,0,1.17,2.97,5.46,0.00
1.00,2.00,0.80,0.60,500,225,408.50,495,0,0.00,0,0.00,3.05,5.40,10.00
1.00,2.00,0.80,0.40,500,156,354.80,485,0,0.00,0,0.45,3.54,6.31,0.00
1.00,2.00,0.80,1.00,500,101,346.00,481,0,0.00,0,0.72,3.55,5.90,0.00
1.00,2.00,0.80,0.30,500,130,286.90,440,0,0.00,0,0.57,4.55,9.38,0.00
1.00,2.00,0.80,0.10,500,131,322.40,492,0,0.00,0,0.22,4.71,6.41,0.00
1.00,2.00,0.80,0.50,500,143,284.90,392,0,0.00,0,2.32,4.85,6.63,0.00
1.00,2.00,0.80,0.20,500,253,426.70,491,0,0.00,0,1.03,4.87,11.01,0.00
1.00,2.00,0.80,0.00,500,253,373.50,494,0,0.00,0,0.22,5.46,11.58,0.00
