Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.50,500,195,346.00,468,0,0.00,0,0.23,2.94,5.92,0.00
1.00,2.00,0.80,0.80,500,189,366.90,472,0,0.00,0,0.39,3.57,5.98,0.00
1.00,2.00,0.80,0.60,500,308,419.30,496,0,0.00,0,0.70,3.83,6.19,0.00
1.00,2.00,0.80,0.40,500,267,359.40,495,0,0.00,0,0.00,4.08,6.70,10.00
1.00,2.00,0.80,1.00,500,211,349.70,463,0,0.00,0,1.40,4.25,8.92,0.00
1.00,2.00,0.80,0.70,500,199,389.30,494,0,0.00,0,0.00,4.36,7.93,10.00
1.00,2.00,0.80,0.30,500,171,327.90,440,0,0.00,0,0.38,4.63,7.77,0.00
1.00,2.00,0.80,0.90,500,227,393.30,492,0,0.00,0,0.23,4.91,10.08,0.00
1.00,2.00,0.80,0.20,500,151,304.60,464,0,0.00,0,2.53,5.36,10.82,0.00
1.00,2.00,0.80,0.00,500,253,373.50,494,0,0.00,0,0.22,5.46,11.58,0.00
1.00,2.00,0.80,0.10,500,284,400.90,495,0,0.00,0,1.74,5.92,11.92,0.00
