Instance,Dimension,Unique found-optimal tours,Unique found-optimal edges,Found-optimal edge density [%],Cycle cover cost,Cycle cover gap to known optimum [%],Cycle cover cycles,Cycle cover precision [%],Cycle cover recall [%],Cycle cover lift,High CMSA threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle-cover gate,High-CMSA found-optimal edges removed by cycle-cover gate,High-CMSA precision gain from cycle-cover gate,High-CMSA recall loss from cycle-cover gate,Found-optimal edges in both cycle cover and high CMSA,Found-optimal edges in cycle cover but not high CMSA,Found-optimal edges in high CMSA but not cycle cover,Found-optimal edges in neither cycle cover nor high CMSA
atex5,72,158,353,6.91,128.000000,97.57,35,100.00,20.40,14.481586,1.000000,32,100.00,9.07,14.481586,32,100.00,9.07,14.481586,0,0,0.000000,0.000000,32,40,0,281
code198,198,1565,27086,69.44,4537.000000,0.09,4,97.98,0.72,1.410987,1.000000,187,37.97,0.26,0.546768,2,50.00,0.00,0.720040,185,70,0.120321,0.002584,1,193,70,26822
crane100_0,100,1,100,1.01,7112879.000000,8.55,22,53.00,53.00,52.470000,1.000000,56,53.57,30.00,53.035714,39,64.10,25.00,63.461538,17,5,0.105311,0.050000,25,28,5,42
crane100_1,100,1,100,1.01,7190894.000000,5.57,17,60.00,60.00,59.400000,1.000000,57,57.89,33.00,57.315789,32,84.38,27.00,83.531250,25,6,0.264803,0.060000,27,33,6,34
crane100_2,100,1,100,1.01,7231700.000000,10.30,29,58.00,58.00,57.420000,1.000000,60,63.33,38.00,62.700000,35,82.86,29.00,82.028571,25,9,0.195238,0.090000,29,29,9,33
crane66_0,66,1,66,1.54,5515456.000000,12.13,15,40.91,40.91,26.590909,1.000000,36,61.11,33.33,39.722222,21,66.67,21.21,43.333333,15,8,0.055556,0.121212,14,13,8,31
crane66_1,66,1,66,1.54,5246199.000000,16.84,22,54.55,54.55,35.454545,1.000000,33,54.55,27.27,35.454545,20,80.00,24.24,52.000000,13,2,0.254545,0.030303,16,20,2,28
crane66_2,66,1,66,1.54,5783848.000000,9.55,22,48.48,48.48,31.515152,1.000000,38,73.68,42.42,47.894737,23,82.61,28.79,53.695652,15,9,0.089245,0.136364,19,13,9,25
dc112,112,0,0,0.00,11010.000000,0.89,25,0.00,0.00,0.000000,1.000000,107,0.00,0.00,0.000000,3,0.00,0.00,0.000000,104,0,0.000000,0.000000,0,0,0,0
dc126,126,0,0,0.00,118541.000000,3.81,51,0.00,0.00,0.000000,1.000000,108,0.00,0.00,0.000000,9,0.00,0.00,0.000000,99,0,0.000000,0.000000,0,0,0,0
dc134,134,0,0,0.00,5591.000000,0.37,21,0.00,0.00,0.000000,1.000000,73,0.00,0.00,0.000000,6,0.00,0.00,0.000000,67,0,0.000000,0.000000,0,0,0,0
dc176,176,0,0,0.00,8515.000000,0.84,41,0.00,0.00,0.000000,1.000000,122,0.00,0.00,0.000000,5,0.00,0.00,0.000000,117,0,0.000000,0.000000,0,0,0,0
dc188,188,0,0,0.00,10098.000000,1.24,30,0.00,0.00,0.000000,1.000000,183,0.00,0.00,0.000000,4,0.00,0.00,0.000000,179,0,0.000000,0.000000,0,0,0,0
