Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,112,0.90,0.00,0.00,0.000000,0
0.200000,110,0.88,0.00,0.00,0.000000,0
0.300000,110,0.88,0.00,0.00,0.000000,0
0.400000,110,0.88,0.00,0.00,0.000000,0
0.500000,110,0.88,0.00,0.00,0.000000,0
0.600000,110,0.88,0.00,0.00,0.000000,0
0.700000,110,0.88,0.00,0.00,0.000000,0
0.800000,110,0.88,0.00,0.00,0.000000,0
0.900000,108,0.87,0.00,0.00,0.000000,0
1.000000,107,0.86,0.00,0.00,0.000000,0
