Metric,Value
Instance,dc112
Dimension,112
Unique found-optimal tours,0
Unique found-optimal edges,0
Found-optimal edge density [%],0.00
Cycle cover cost,11010.000000
Cycle cover gap to known optimum [%],0.89
Cycle cover cycles,25
Cycle cover min cycle length,2
Cycle cover avg cycle length,4.480000
Cycle cover max cycle length,13
Cycle cover edges,112
Cycle cover edge density [%],0.90
Cycle cover found-optimal edges,0
Cycle cover edges not seen in found-optimal tours,0
Cycle cover precision vs found-optimal edges [%],0.00
Cycle cover recall vs found-optimal edges [%],0.00
Cycle cover lift vs found-optimal edge density,0.000000
High MSA support threshold,1.000000
High MSA support edges,107
High MSA support edge density [%],0.86
High MSA support found-optimal edges,0
High MSA support edges not seen in found-optimal tours,0
High MSA support precision vs found-optimal edges [%],0.00
High MSA support recall vs found-optimal edges [%],0.00
High MSA support lift vs found-optimal edge density,0.000000
Cycle cover positive-MSA support edges,7
Cycle cover positive-MSA support edge density [%],0.06
Cycle cover positive-MSA support found-optimal edges,0
Cycle cover positive-MSA support edges not seen in found-optimal tours,0
Cycle cover positive-MSA support precision vs found-optimal edges [%],0.00
Cycle cover positive-MSA support recall vs found-optimal edges [%],0.00
Cycle cover positive-MSA support lift vs found-optimal edge density,0.000000
Cycle cover high-MSA support edges,3
Cycle cover high-MSA support edge density [%],0.02
Cycle cover high-MSA support found-optimal edges,0
Cycle cover high-MSA support edges not seen in found-optimal tours,0
Cycle cover high-MSA support precision vs found-optimal edges [%],0.00
Cycle cover high-MSA support recall vs found-optimal edges [%],0.00
Cycle cover high-MSA support lift vs found-optimal edge density,0.000000
Cycle cover edges with positive MSA support,7
Cycle cover positive-MSA support share [%],6.25
Cycle cover edges with high MSA support,3
Cycle cover high-MSA support share [%],2.68
High-MSA support edges removed by cycle-cover gate,104
High-MSA support found-optimal edges removed by cycle-cover gate,0
High-MSA support precision gain from cycle-cover gate,0.000000
High-MSA support recall loss from cycle-cover gate,0.000000
Found-optimal edges in both cycle cover and high MSA support,0
Found-optimal edges in cycle cover but not high MSA support,0
Found-optimal edges in high MSA support but not cycle cover,0
Found-optimal edges in neither cycle cover nor high MSA support,0
