From,To,Distance,MSA support,Normalized MSA support,High MSA support,Found-optimal edge
0,6,144.000000,0.000000,0.000000,false,false
1,4,202.000000,0.000000,0.000000,false,false
2,3,219.000000,0.000000,0.000000,false,false
3,2,218.000000,0.000000,0.000000,false,false
4,1,202.000000,0.000000,0.000000,false,false
5,8,252.000000,0.000000,0.000000,false,false
6,0,141.000000,0.000000,0.000000,false,false
7,11,230.000000,0.000000,0.000000,false,false
8,7,252.000000,0.000000,0.000000,false,false
9,5,241.000000,0.000000,0.000000,false,false
10,15,151.000000,0.000000,0.000000,false,false
11,12,225.000000,0.000000,0.000000,false,false
12,13,230.000000,0.000000,0.000000,false,false
13,9,234.000000,0.000000,0.000000,false,false
14,10,135.000000,0.000000,0.000000,false,false
15,14,144.000000,0.000000,0.000000,false,false
16,17,160.000000,0.000000,0.000000,false,false
17,16,165.000000,0.000000,0.000000,false,false
18,19,59.000000,0.000000,0.000000,false,false
19,18,57.000000,0.000000,0.000000,false,false
20,21,14.000000,111.000000,1.000000,true,false
21,22,14.000000,0.000000,0.000000,false,false
22,23,14.000000,0.000000,0.000000,false,false
23,24,14.000000,0.000000,0.000000,false,false
24,25,14.000000,0.000000,0.000000,false,false
25,26,14.000000,0.000000,0.000000,false,false
26,27,14.000000,0.000000,0.000000,false,false
27,28,14.000000,0.000000,0.000000,false,false
28,111,15.000000,0.000000,0.000000,false,false
29,86,29.000000,1.000000,0.009009,false,false
30,39,162.000000,0.000000,0.000000,false,false
31,75,180.000000,0.000000,0.000000,false,false
32,91,21.000000,0.000000,0.000000,false,false
33,58,159.000000,0.000000,0.000000,false,false
34,64,154.000000,0.000000,0.000000,false,false
35,38,14.000000,111.000000,1.000000,true,false
36,52,169.000000,0.000000,0.000000,false,false
37,56,162.000000,0.000000,0.000000,false,false
38,105,14.000000,0.000000,0.000000,false,false
39,30,161.000000,0.000000,0.000000,false,false
40,84,164.000000,0.000000,0.000000,false,false
41,108,20.000000,0.000000,0.000000,false,false
42,89,179.000000,0.000000,0.000000,false,false
43,47,14.000000,111.000000,1.000000,true,false
44,40,153.000000,0.000000,0.000000,false,false
45,99,17.000000,0.000000,0.000000,false,false
46,42,178.000000,0.000000,0.000000,false,false
47,49,14.000000,0.000000,0.000000,false,false
48,109,156.000000,0.000000,0.000000,false,false
49,53,14.000000,0.000000,0.000000,false,false
50,94,14.000000,0.000000,0.000000,false,false
51,46,175.000000,0.000000,0.000000,false,false
52,70,168.000000,0.000000,0.000000,false,false
53,43,14.000000,1.000000,0.009009,false,false
54,60,17.000000,0.000000,0.000000,false,false
55,77,14.000000,0.000000,0.000000,false,false
56,80,160.000000,0.000000,0.000000,false,false
57,55,14.000000,0.000000,0.000000,false,false
58,48,153.000000,0.000000,0.000000,false,false
59,57,14.000000,0.000000,0.000000,false,false
60,54,17.000000,0.000000,0.000000,false,false
61,63,14.000000,0.000000,0.000000,false,false
62,88,173.000000,0.000000,0.000000,false,false
63,59,14.000000,0.000000,0.000000,false,false
64,34,151.000000,0.000000,0.000000,false,false
65,61,14.000000,0.000000,0.000000,false,false
66,67,23.000000,0.000000,0.000000,false,false
67,66,23.000000,0.000000,0.000000,false,false
68,62,167.000000,0.000000,0.000000,false,false
69,65,14.000000,0.000000,0.000000,false,false
70,73,165.000000,0.000000,0.000000,false,false
71,90,14.000000,0.000000,0.000000,false,false
72,76,29.000000,0.000000,0.000000,false,false
73,68,155.000000,0.000000,0.000000,false,false
74,98,14.000000,0.000000,0.000000,false,false
75,31,183.000000,0.000000,0.000000,false,false
76,72,29.000000,0.000000,0.000000,false,false
77,69,14.000000,0.000000,0.000000,false,false
78,101,154.000000,0.000000,0.000000,false,false
79,71,14.000000,0.000000,0.000000,false,false
80,78,151.000000,0.000000,0.000000,false,false
81,74,14.000000,0.000000,0.000000,false,false
82,35,14.000000,1.000000,0.009009,false,false
83,95,165.000000,0.000000,0.000000,false,false
84,93,174.000000,0.000000,0.000000,false,false
85,79,14.000000,0.000000,0.000000,false,false
86,41,20.000000,0.000000,0.000000,false,false
87,96,14.000000,0.000000,0.000000,false,false
88,107,161.000000,0.000000,0.000000,false,false
89,92,177.000000,0.000000,0.000000,false,false
90,81,14.000000,0.000000,0.000000,false,false
91,29,30.000000,0.000000,0.000000,false,false
92,33,175.000000,0.000000,0.000000,false,false
93,36,176.000000,0.000000,0.000000,false,false
94,82,14.000000,0.000000,0.000000,false,false
95,83,163.000000,0.000000,0.000000,false,false
96,85,14.000000,0.000000,0.000000,false,false
97,37,146.000000,0.000000,0.000000,false,false
98,87,14.000000,0.000000,0.000000,false,false
99,45,17.000000,0.000000,0.000000,false,false
100,103,139.000000,0.000000,0.000000,false,false
101,104,152.000000,0.000000,0.000000,false,false
102,50,14.000000,0.000000,0.000000,false,false
103,100,142.000000,0.000000,0.000000,false,false
104,106,160.000000,0.000000,0.000000,false,false
105,102,14.000000,0.000000,0.000000,false,false
106,97,147.000000,0.000000,0.000000,false,false
107,110,168.000000,0.000000,0.000000,false,false
108,32,20.000000,0.000000,0.000000,false,false
109,51,163.000000,0.000000,0.000000,false,false
110,44,163.000000,0.000000,0.000000,false,false
111,20,15.000000,1.000000,0.009009,false,false
