Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Local search ants fraction,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,2.00,0.98,0.05,0.25,0.80,90,0.50,6222,2694,4457.10,5570,2535,152310.00,28471,0.14,0.21,0.34,0.00,19834
1.00,2.00,0.98,0.05,0.75,0.80,90,1.00,6222,1856,4410.00,5588,1181,115703.00,22698,0.14,0.22,0.32,0.00,21678
1.00,2.00,0.98,0.05,0.00,0.80,90,1.00,6222,2200,4343.00,5575,9193,389365.00,70547,0.15,0.23,0.30,0.00,25146
1.00,2.00,0.98,0.05,0.25,0.80,90,0.00,6222,2173,3899.80,5313,0,0.00,0,0.17,0.24,0.36,0.00,15623
1.00,2.00,0.98,0.05,0.25,0.80,90,1.00,6222,3931,4934.40,5823,4724,378699.00,64202,0.12,0.25,0.37,0.00,24589
1.00,2.00,0.98,0.05,0.50,0.80,90,0.00,6222,3357,4597.90,5843,0,0.00,0,0.18,0.26,0.32,0.00,15736
1.00,2.00,0.98,0.05,0.00,0.80,90,0.50,6222,2742,4126.10,6128,2989,160676.00,30794,0.14,0.26,0.34,0.00,20161
1.00,2.00,0.98,0.05,0.50,0.80,90,1.00,6222,2623,4919.40,6221,4759,252074.00,43950,0.19,0.27,0.41,0.00,23242
1.00,2.00,0.98,0.05,0.75,0.80,90,0.00,6222,1932,3880.60,6136,0,0.00,0,0.16,0.28,0.41,0.00,15788
1.00,2.00,0.98,0.05,0.75,0.80,90,0.50,6222,2357,4779.60,6174,1254,62554.00,11029,0.19,0.28,0.35,0.00,18787
1.00,2.00,0.98,0.05,1.00,0.80,90,0.00,6222,2145,4132.60,6134,0,0.00,0,0.17,0.30,0.41,0.00,15691
1.00,2.00,0.98,0.05,0.50,0.80,90,0.50,6222,2441,5017.50,6169,1198,90680.00,15082,0.25,0.30,0.42,0.00,19116
1.00,2.00,0.98,0.05,1.00,0.80,90,0.50,6222,1763,3478.00,6204,464,42381.00,8037,0.26,0.32,0.37,0.00,19609
1.00,2.00,0.98,0.05,0.00,0.80,90,0.00,6222,2731,4830.60,6166,0,0.00,0,0.17,0.32,0.54,0.00,15378
1.00,2.00,0.98,0.05,1.00,0.80,90,1.00,6222,1911,4531.70,5939,1578,89619.00,16171,0.23,0.32,0.42,0.00,22260
