Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.40,5000,40,738.40,4529,0,0.00,0,0.49,0.73,0.82,0.00
1.00,2.00,0.80,0.50,5000,38,153.50,341,0,0.00,0,0.69,0.74,0.79,0.00
1.00,2.00,0.80,0.90,5000,25,252.30,852,0,0.00,0,0.69,0.74,0.77,0.00
1.00,2.00,0.80,0.30,5000,16,287.50,1302,0,0.00,0,0.63,0.74,0.83,0.00
1.00,2.00,0.80,0.20,5000,47,560.60,2542,0,0.00,0,0.72,0.75,0.79,0.00
1.00,2.00,0.80,0.80,5000,28,114.70,224,0,0.00,0,0.71,0.75,0.79,0.00
1.00,2.00,0.80,0.60,5000,33,249.60,1070,0,0.00,0,0.72,0.76,0.85,0.00
1.00,2.00,0.80,0.70,5000,25,161.40,975,0,0.00,0,0.73,0.76,0.81,0.00
1.00,2.00,0.80,1.00,5000,22,359.60,2678,0,0.00,0,0.72,0.76,0.78,0.00
1.00,2.00,0.80,0.10,5000,36,253.30,1463,0,0.00,0,0.72,0.77,0.83,0.00
1.00,2.00,0.80,0.00,5000,33,317.90,2077,0,0.00,0,0.89,1.03,1.16,0.00
