Threshold,High CMSA edges,High CMSA density [%],Precision vs found-optimal edges [%],Recall vs found-optimal edges [%],Lift vs found-optimal edge density,High-CMSA edges not seen in found-optimal tours
0.100000,130,0.83,0.00,0.00,0.000000,0
0.200000,130,0.83,0.00,0.00,0.000000,0
0.300000,128,0.81,0.00,0.00,0.000000,0
0.400000,126,0.80,0.00,0.00,0.000000,0
0.500000,125,0.79,0.00,0.00,0.000000,0
0.600000,124,0.79,0.00,0.00,0.000000,0
0.700000,122,0.77,0.00,0.00,0.000000,0
0.800000,120,0.76,0.00,0.00,0.000000,0
0.900000,120,0.76,0.00,0.00,0.000000,0
1.000000,108,0.69,0.00,0.00,0.000000,0
