Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,539,2143.90,4806,0,0.00,0,1.28,1.88,2.50,0.00
1.00,2.00,0.80,0.20,5000,299,1915.70,4786,0,0.00,0,1.49,2.02,2.82,0.00
1.00,2.00,0.80,0.50,5000,455,2886.80,4493,0,0.00,0,1.77,2.07,2.54,0.00
1.00,2.00,0.80,0.10,5000,259,3040.70,4728,0,0.00,0,1.61,2.09,2.79,0.00
1.00,2.00,0.80,0.60,5000,1753,3041.70,4593,0,0.00,0,1.70,2.10,2.41,0.00
1.00,2.00,0.80,0.40,5000,1053,2434.20,4946,0,0.00,0,1.83,2.11,2.62,0.00
1.00,2.00,0.80,0.70,5000,243,2011.30,4666,0,0.00,0,1.65,2.12,2.83,0.00
1.00,2.00,0.80,1.00,5000,432,1697.30,4802,0,0.00,0,1.75,2.12,2.58,0.00
1.00,2.00,0.80,0.30,5000,273,2232.60,4630,0,0.00,0,1.18,2.15,3.21,0.00
1.00,2.00,0.80,0.90,5000,205,1435.60,3329,0,0.00,0,1.45,2.18,3.01,0.00
1.00,2.00,0.80,0.00,5000,544,3075.40,4612,0,0.00,0,1.50,2.26,2.83,0.00
