Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,474,2988.10,4940,0,0.00,0,1.23,1.83,2.25,0.00
1.00,2.00,0.80,0.10,5000,258,1802.00,4466,0,0.00,0,1.51,1.99,2.95,0.00
1.00,2.00,0.80,0.50,5000,323,2351.80,4398,0,0.00,0,1.37,2.00,2.91,0.00
1.00,2.00,0.80,0.80,5000,155,1855.00,4394,0,0.00,0,1.57,2.02,2.53,0.00
1.00,2.00,0.80,0.30,5000,575,2858.10,4534,0,0.00,0,1.62,2.11,2.83,0.00
1.00,2.00,0.80,0.20,5000,668,3090.30,4943,0,0.00,0,1.65,2.14,2.81,0.00
1.00,2.00,0.80,0.60,5000,275,2109.50,4700,0,0.00,0,1.57,2.16,2.88,0.00
1.00,2.00,0.80,0.70,5000,156,1664.70,4594,0,0.00,0,1.63,2.18,2.63,0.00
1.00,2.00,0.80,1.00,5000,443,1704.30,4175,0,0.00,0,1.77,2.22,2.82,0.00
1.00,2.00,0.80,0.00,5000,544,3075.40,4612,0,0.00,0,1.50,2.26,2.83,0.00
1.00,2.00,0.80,0.40,5000,161,2154.40,4577,0,0.00,0,1.69,2.32,3.14,0.00
