Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,150,1978.73,4909,0,0.00,0,1.11,1.67,2.32,0.00
1.00,2.00,0.80,0.30,5000,140,2452.70,4983,0,0.00,0,1.25,1.74,2.15,0.00
1.00,2.00,0.80,0.90,5000,196,2020.67,4954,0,0.00,0,1.30,1.74,2.09,0.00
1.00,2.00,0.80,0.80,5000,99,1528.87,4694,0,0.00,0,1.19,1.75,2.03,0.00
1.00,2.00,0.80,0.70,5000,92,2061.03,4897,0,0.00,0,1.31,1.76,2.15,0.00
1.00,2.00,0.80,0.50,5000,183,2095.43,4990,0,0.00,0,1.21,1.77,2.09,0.00
1.00,2.00,0.80,0.60,5000,171,1602.90,4950,0,0.00,0,1.15,1.78,2.29,0.00
1.00,2.00,0.80,0.10,5000,67,2232.20,4839,0,0.00,0,1.07,1.81,2.20,0.00
1.00,2.00,0.80,0.40,5000,235,2375.83,4839,0,0.00,0,1.07,1.82,2.11,0.00
1.00,2.00,0.80,0.20,5000,54,1997.60,4690,0,0.00,0,1.25,1.91,2.33,0.00
1.00,2.00,0.80,0.00,5000,159,2378.97,4612,0,0.00,0,1.41,2.21,3.32,0.00
