Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,1.00,5000,103,2655.30,4708,0,0.00,0,0.97,1.53,1.76,0.00
1.00,2.00,0.80,0.60,5000,484,2148.70,3856,0,0.00,0,1.43,1.75,2.10,0.00
1.00,2.00,0.80,0.10,5000,132,2444.60,4305,0,0.00,0,1.22,1.75,2.30,0.00
1.00,2.00,0.80,0.90,5000,177,2415.70,3978,0,0.00,0,1.60,1.77,1.94,0.00
1.00,2.00,0.80,0.30,5000,355,2384.80,4239,0,0.00,0,1.49,1.79,2.11,0.00
1.00,2.00,0.80,0.40,5000,499,2169.10,4943,0,0.00,0,1.49,1.81,2.22,0.00
1.00,2.00,0.80,0.50,5000,148,1871.00,4014,0,0.00,0,1.55,1.81,2.07,0.00
1.00,2.00,0.80,0.80,5000,171,2058.00,4672,0,0.00,0,1.56,1.87,2.10,0.00
1.00,2.00,0.80,0.70,5000,254,1464.00,4835,0,0.00,0,1.41,1.89,2.15,0.00
1.00,2.00,0.80,0.20,5000,408,2491.90,3984,0,0.00,0,1.31,1.92,2.23,0.00
1.00,2.00,0.80,0.00,5000,544,3075.40,4612,0,0.00,0,1.50,2.26,2.83,0.00
