Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,5000,54,153.30,460,0,0.00,0,1.02,1.13,1.27,0.00
1.00,2.00,0.80,0.80,5000,75,185.50,289,0,0.00,0,0.98,1.14,1.30,0.00
1.00,2.00,0.80,0.30,5000,60,143.60,230,0,0.00,0,1.09,1.15,1.28,0.00
1.00,2.00,0.80,0.60,5000,35,140.40,276,0,0.00,0,1.03,1.18,1.30,0.00
1.00,2.00,0.80,0.50,5000,43,141.20,288,0,0.00,0,1.03,1.18,1.34,0.00
1.00,2.00,0.80,0.90,5000,54,155.20,414,0,0.00,0,1.10,1.20,1.27,0.00
1.00,2.00,0.80,1.00,5000,23,145.40,316,0,0.00,0,1.07,1.21,1.37,0.00
1.00,2.00,0.80,0.40,5000,41,332.90,2401,0,0.00,0,1.14,1.23,1.28,0.00
1.00,2.00,0.80,0.20,5000,86,414.80,2638,0,0.00,0,1.09,1.26,1.44,0.00
1.00,2.00,0.80,0.10,5000,21,356.40,1411,0,0.00,0,1.03,1.27,1.39,0.00
1.00,2.00,0.80,0.00,5000,54,118.10,264,0,0.00,0,1.07,1.31,1.43,0.00
