Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.70,5000,37,316.10,1473,0,0.00,0,1.03,1.22,1.46,0.00
1.00,2.00,0.80,0.30,5000,74,158.00,231,0,0.00,0,0.94,1.24,1.39,0.00
1.00,2.00,0.80,0.20,5000,45,130.40,222,0,0.00,0,1.03,1.27,1.43,0.00
1.00,2.00,0.80,0.90,5000,73,151.10,244,0,0.00,0,1.02,1.27,1.48,0.00
1.00,2.00,0.80,1.00,5000,139,386.80,1536,0,0.00,0,1.05,1.28,1.43,0.00
1.00,2.00,0.80,0.60,5000,75,588.10,4138,0,0.00,0,1.09,1.28,1.50,0.00
1.00,2.00,0.80,0.50,5000,29,197.80,900,0,0.00,0,1.05,1.28,1.41,0.00
1.00,2.00,0.80,0.10,5000,39,115.70,217,0,0.00,0,1.18,1.31,1.55,0.00
1.00,2.00,0.80,0.00,5000,54,118.10,264,0,0.00,0,1.07,1.31,1.43,0.00
1.00,2.00,0.80,0.80,5000,16,398.20,1543,0,0.00,0,1.12,1.31,1.50,0.00
1.00,2.00,0.80,0.40,5000,22,111.50,210,0,0.00,0,1.18,1.33,1.51,0.00
