Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,44,195.27,1764,0,0.00,0,0.98,1.16,1.30,0.00
1.00,2.00,0.80,0.30,5000,13,135.70,282,0,0.00,0,1.00,1.16,1.34,0.00
1.00,2.00,0.80,0.70,5000,37,175.73,749,0,0.00,0,1.02,1.16,1.28,0.00
1.00,2.00,0.80,0.50,5000,31,303.53,4198,0,0.00,0,1.00,1.17,1.39,0.00
1.00,2.00,0.80,0.90,5000,44,271.53,2543,0,0.00,0,0.93,1.18,1.34,0.00
1.00,2.00,0.80,0.40,5000,28,214.60,2401,0,0.00,0,1.03,1.19,1.34,0.00
1.00,2.00,0.80,0.60,5000,20,142.23,459,0,0.00,0,0.98,1.19,1.34,0.00
1.00,2.00,0.80,1.00,5000,23,143.83,830,0,0.00,0,1.07,1.20,1.37,0.00
1.00,2.00,0.80,0.10,5000,21,232.17,1411,0,0.00,0,1.03,1.29,1.46,0.00
1.00,2.00,0.80,0.20,5000,36,296.20,2638,0,0.00,0,1.02,1.30,1.53,0.00
1.00,2.00,0.80,0.00,5000,39,158.93,339,0,0.00,0,1.07,1.30,1.48,0.00
