Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.80,5000,38,196.00,410,0,0.00,0,0.57,0.66,0.77,0.00
1.00,2.00,0.80,0.90,5000,17,351.90,2162,0,0.00,0,0.64,0.67,0.75,0.00
1.00,2.00,0.80,0.70,5000,23,368.20,1964,0,0.00,0,0.64,0.68,0.82,0.00
1.00,2.00,0.80,0.60,5000,52,160.80,285,0,0.00,0,0.64,0.69,0.78,0.00
1.00,2.00,0.80,1.00,5000,12,141.70,550,0,0.00,0,0.64,0.70,0.84,0.00
1.00,2.00,0.80,0.50,5000,15,129.30,284,0,0.00,0,0.62,0.70,1.03,0.00
1.00,2.00,0.80,0.30,5000,19,145.40,536,0,0.00,0,0.59,0.73,1.03,0.00
1.00,2.00,0.80,0.40,5000,21,138.30,263,0,0.00,0,0.52,0.75,1.03,0.00
1.00,2.00,0.80,0.10,5000,36,281.20,1559,0,0.00,0,0.59,0.79,1.09,0.00
1.00,2.00,0.80,0.20,5000,46,180.00,277,0,0.00,0,0.93,0.96,1.03,0.00
1.00,2.00,0.80,0.00,5000,54,118.10,264,0,0.00,0,1.07,1.31,1.43,0.00
