Alpha,Beta,Rho,Heuristic weight,MSA patch bias,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.60,0.00,5000,130,1274.67,4729,0,0.00,0,0.79,1.06,1.44,0.00
1.00,2.00,0.80,0.80,0.00,5000,104,1284.63,4990,0,0.00,0,0.85,1.06,1.32,0.00
1.00,2.00,0.80,0.90,0.00,5000,6,884.43,4385,0,0.00,0,0.82,1.10,1.51,0.00
1.00,2.00,0.80,0.70,0.00,5000,92,1151.17,4774,0,0.00,0,0.92,1.11,1.41,0.00
1.00,2.00,0.80,0.40,0.00,5000,12,737.13,4335,0,0.00,0,0.95,1.12,1.19,0.00
1.00,2.00,0.80,0.50,0.00,5000,2,883.87,4889,0,0.00,0,0.93,1.13,1.27,0.00
1.00,2.00,0.80,0.40,0.25,5000,9,904.63,4749,0,0.00,0,1.02,1.14,1.29,0.00
1.00,2.00,0.80,1.00,0.00,5000,45,1375.73,4527,0,0.00,0,0.85,1.15,1.48,0.00
1.00,2.00,0.80,0.60,0.25,5000,21,1142.97,4925,0,0.00,0,0.83,1.15,1.36,0.00
1.00,2.00,0.80,1.00,0.25,5000,89,1026.40,4365,0,0.00,0,0.94,1.16,1.42,0.00
1.00,2.00,0.80,0.50,0.25,5000,0,591.87,4586,0,0.00,0,0.98,1.17,1.34,0.00
1.00,2.00,0.80,0.30,0.25,5000,15,489.73,1911,0,0.00,0,1.00,1.17,1.46,0.00
1.00,2.00,0.80,0.70,0.25,5000,86,1141.20,4030,0,0.00,0,0.98,1.18,1.51,0.00
1.00,2.00,0.80,0.90,0.25,5000,30,1286.00,4743,0,0.00,0,0.87,1.19,1.41,0.00
1.00,2.00,0.80,0.80,0.25,5000,11,795.87,4545,0,0.00,0,0.97,1.20,1.36,0.00
1.00,2.00,0.80,0.30,0.00,5000,7,641.40,3830,0,0.00,0,1.00,1.21,1.32,0.00
1.00,2.00,0.80,0.40,0.75,5000,15,568.70,2863,0,0.00,0,1.11,1.24,1.40,0.00
1.00,2.00,0.80,0.40,1.00,5000,6,666.40,4637,0,0.00,0,1.11,1.26,1.55,0.00
1.00,2.00,0.80,0.50,1.00,5000,9,544.93,4406,0,0.00,0,1.11,1.27,1.46,0.00
1.00,2.00,0.80,0.50,0.75,5000,26,642.20,4548,0,0.00,0,1.06,1.27,1.49,0.00
1.00,2.00,0.80,0.40,0.50,5000,8,432.37,3710,0,0.00,0,1.04,1.27,1.47,0.00
1.00,2.00,0.80,0.50,0.50,5000,13,405.57,4706,0,0.00,0,1.07,1.33,1.44,0.00
1.00,2.00,0.80,0.30,0.75,5000,7,660.40,4282,0,0.00,0,1.12,1.34,1.56,0.00
1.00,2.00,0.80,0.30,0.50,5000,4,481.90,2625,0,0.00,0,1.20,1.38,1.54,0.00
1.00,2.00,0.80,0.20,0.50,5000,5,682.77,4035,0,0.00,0,1.16,1.39,1.50,0.00
1.00,2.00,0.80,0.30,1.00,5000,3,409.30,2610,0,0.00,0,1.18,1.39,1.60,0.00
1.00,2.00,0.80,0.20,1.00,5000,6,509.77,3523,0,0.00,0,1.20,1.40,1.54,0.00
1.00,2.00,0.80,0.20,0.75,5000,14,288.77,2048,0,0.00,0,1.23,1.41,1.55,0.00
1.00,2.00,0.80,0.80,1.00,5000,11,665.40,4611,0,0.00,0,1.25,1.42,1.64,0.00
1.00,2.00,0.80,0.90,1.00,5000,12,866.80,4960,0,0.00,0,1.27,1.43,1.75,0.00
1.00,2.00,0.80,1.00,1.00,5000,9,942.70,3656,0,0.00,0,1.30,1.43,1.61,0.00
1.00,2.00,0.80,0.60,0.75,5000,4,717.17,4080,0,0.00,0,1.22,1.45,1.67,0.00
1.00,2.00,0.80,0.70,1.00,5000,49,609.57,4375,0,0.00,0,1.22,1.45,1.54,0.00
1.00,2.00,0.80,1.00,0.75,5000,19,449.37,1966,0,0.00,0,1.26,1.46,1.69,0.00
1.00,2.00,0.80,0.70,0.75,5000,42,1000.00,4462,0,0.00,0,1.30,1.47,1.71,0.00
1.00,2.00,0.80,0.60,1.00,5000,3,362.87,2008,0,0.00,0,1.35,1.48,1.61,0.00
1.00,2.00,0.80,0.80,0.75,5000,15,970.73,4765,0,0.00,0,1.28,1.48,1.67,0.00
1.00,2.00,0.80,0.20,0.25,5000,4,571.73,4299,0,0.00,0,1.25,1.48,1.69,0.00
1.00,2.00,0.80,0.90,0.75,5000,16,947.53,4360,0,0.00,0,1.08,1.48,1.69,0.00
1.00,2.00,0.80,1.00,0.50,5000,18,642.57,4968,0,0.00,0,1.25,1.49,1.77,0.00
1.00,2.00,0.80,0.70,0.50,5000,23,688.93,3879,0,0.00,0,1.35,1.50,1.65,0.00
1.00,2.00,0.80,0.60,0.50,5000,33,669.80,4552,0,0.00,0,1.29,1.52,1.70,0.00
1.00,2.00,0.80,0.90,0.50,5000,7,672.10,4408,0,0.00,0,1.29,1.52,1.70,0.00
1.00,2.00,0.80,0.20,0.00,5000,2,567.37,2935,0,0.00,0,1.26,1.53,1.72,0.00
1.00,2.00,0.80,0.80,0.50,5000,20,491.00,3477,0,0.00,0,1.21,1.53,1.72,0.00
1.00,2.00,0.80,0.10,0.00,5000,4,964.87,4477,0,0.00,0,1.25,1.57,1.86,0.00
1.00,2.00,0.80,0.10,0.50,5000,26,672.50,3680,0,0.00,0,1.30,1.61,1.70,0.00
1.00,2.00,0.80,0.10,0.25,5000,7,430.80,2330,0,0.00,0,1.43,1.66,1.90,0.00
1.00,2.00,0.80,0.10,1.00,5000,24,529.70,4776,0,0.00,0,1.49,1.69,1.96,0.00
1.00,2.00,0.80,0.10,0.75,5000,21,231.67,1410,0,0.00,0,1.44,1.71,1.97,0.00
1.00,2.00,0.80,0.00,0.00,5000,1,324.90,2387,0,0.00,0,2.20,2.37,2.47,0.00
