Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.90,5000,69,461.47,4568,0,0.00,0,1.09,1.51,2.05,0.00
1.00,2.00,0.80,0.60,5000,26,736.83,4912,0,0.00,0,1.14,1.52,2.13,0.00
1.00,2.00,0.80,1.00,5000,21,487.30,4605,0,0.00,0,1.18,1.52,2.00,0.00
1.00,2.00,0.80,0.80,5000,49,313.73,1160,0,0.00,0,1.13,1.53,2.05,0.00
1.00,2.00,0.80,0.20,5000,32,453.47,4350,0,0.00,0,1.12,1.53,1.91,0.00
1.00,2.00,0.80,0.70,5000,53,833.13,4365,0,0.00,0,0.96,1.54,1.99,0.00
1.00,2.00,0.80,0.10,5000,56,286.83,1887,0,0.00,0,1.04,1.55,2.01,0.00
1.00,2.00,0.80,0.50,5000,30,262.03,1064,0,0.00,0,1.11,1.55,2.04,0.00
1.00,2.00,0.80,0.00,5000,67,805.97,4514,0,0.00,0,1.12,1.56,2.17,0.00
1.00,2.00,0.80,0.30,5000,31,665.03,3637,0,0.00,0,1.17,1.56,2.03,0.00
1.00,2.00,0.80,0.40,5000,76,521.30,3974,0,0.00,0,1.17,1.57,2.17,0.00
