Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,5000,60,656.00,4497,0,0.00,0,1.12,1.47,1.95,0.00
1.00,2.00,0.80,0.80,5000,45,521.30,3823,0,0.00,0,1.04,1.51,1.91,0.00
1.00,2.00,0.80,0.40,5000,39,618.50,3629,0,0.00,0,0.99,1.52,2.19,0.00
1.00,2.00,0.80,0.10,5000,29,545.87,2800,0,0.00,0,1.07,1.52,1.99,0.00
1.00,2.00,0.80,0.50,5000,52,955.03,4657,0,0.00,0,1.18,1.54,2.12,0.00
1.00,2.00,0.80,1.00,5000,23,490.87,2113,0,0.00,0,1.10,1.54,2.24,0.00
1.00,2.00,0.80,0.90,5000,86,340.13,2167,0,0.00,0,1.21,1.56,1.98,0.00
1.00,2.00,0.80,0.00,5000,67,805.97,4514,0,0.00,0,1.12,1.56,2.17,0.00
1.00,2.00,0.80,0.20,5000,11,605.93,3941,0,0.00,0,1.17,1.57,2.19,0.00
1.00,2.00,0.80,0.70,5000,52,587.30,3898,0,0.00,0,1.26,1.59,2.07,0.00
1.00,2.00,0.80,0.60,5000,39,305.53,1007,0,0.00,0,1.09,1.60,2.10,0.00
