Instance,Baseline,,MSA support,,Cycle cover,
,Avg min deviation [%],Success rate [%],Avg min deviation [%],Success rate [%],Avg min deviation [%],Success rate [%]
ft53,5.88,0.00,5.24,0.00,3.78,0.00
ftv55,2.96,2.00,2.27,8.00,2.21,0.00
ftv64,1.80,4.00,1.01,32.00,1.67,2.00
crane66_0,5.15,0.00,4.48,0.00,4.45,0.00
crane66_1,2.82,4.00,2.97,6.00,1.49,4.00
crane66_2,5.57,4.00,2.53,10.00,3.20,4.00
ft70,2.70,0.00,2.30,0.00,1.23,0.00
ftv70,2.75,0.00,3.17,2.00,2.75,0.00
atex5,3.93,2.00,4.28,0.00,3.99,0.00
ftv90,6.33,0.00,4.33,0.00,5.48,0.00
crane100_0,4.22,0.00,3.98,4.00,2.35,6.00
crane100_1,3.37,2.00,3.77,0.00,2.65,6.00
crane100_2,3.42,0.00,2.63,2.00,1.85,0.00
ftv100,4.86,0.00,3.65,0.00,4.23,0.00
td100_1,0.94,0.00,0.82,0.00,0.73,0.00
ftv110,6.51,0.00,5.53,0.00,5.64,0.00
dc112,1.04,0.00,1.05,0.00,0.67,0.00
ftv120,4.96,0.00,5.12,0.00,5.05,0.00
dc126,2.19,0.00,2.05,0.00,1.73,0.00
ftv130,4.78,0.00,4.98,0.00,5.30,0.00
dc134,1.31,0.00,1.18,0.00,0.68,0.00
ftv140,6.17,0.00,5.35,0.00,5.85,0.00
ftv150,4.40,0.00,4.26,0.00,3.16,0.00
ftv160,4.37,0.00,4.31,0.00,2.37,0.00
ftv170,5.27,0.00,4.99,0.00,5.69,0.00
dc176,2.36,0.00,2.39,0.00,1.42,0.00
dc188,1.58,0.00,1.52,0.00,1.20,0.00
code198,0.00,92.00,0.00,94.00,0.00,100.00
Average,3.63,3.93,3.22,5.64,2.89,4.36
