Alpha,Beta,Rho,pBest,CMSA edge selection probability,Ants (% of #nodes),Best at iteration,Best length,Deviation,Success rate,Commonality with CMSA,Computation time [ms]
1.00,5.00,0.80,0.05,0.00,0.10,3867,6979,4.59,0.00,67.31,291
1.00,5.00,0.80,0.05,0.00,0.20,1380,6921,4.54,0.00,67.31,245
1.00,5.00,0.80,0.05,0.00,0.30,1341,6979,4.57,0.00,67.31,230
1.00,5.00,0.80,0.05,0.00,0.40,763,6997,4.37,0.00,61.54,222
1.00,5.00,0.80,0.05,0.00,0.50,665,6982,4.95,0.00,69.23,216
1.00,5.00,0.80,0.05,0.00,0.60,432,6995,4.65,0.00,65.38,212
1.00,5.00,0.80,0.05,0.00,0.70,663,6915,4.76,0.00,65.38,208
1.00,5.00,0.80,0.05,0.00,0.80,518,6965,4.35,0.00,65.38,206
1.00,5.00,0.80,0.05,0.00,0.90,326,6915,4.71,0.00,65.38,205
1.00,5.00,0.80,0.05,0.00,1.00,407,6982,4.55,0.00,71.15,204
1.00,5.00,0.80,0.05,0.25,0.10,2987,6970,3.72,0.00,69.23,293
1.00,5.00,0.80,0.05,0.25,0.20,1901,6953,3.87,0.00,73.08,249
1.00,5.00,0.80,0.05,0.25,0.30,1373,6911,3.75,0.00,71.15,233
1.00,5.00,0.80,0.05,0.25,0.40,1149,6953,3.49,0.00,73.08,222
1.00,5.00,0.80,0.05,0.25,0.50,515,6970,3.59,0.00,67.31,217
1.00,5.00,0.80,0.05,0.25,0.60,580,6970,3.52,0.00,69.23,214
1.00,5.00,0.80,0.05,0.25,0.70,390,6911,3.63,0.00,71.15,212
1.00,5.00,0.80,0.05,0.25,0.80,465,6911,3.56,0.00,73.08,209
1.00,5.00,0.80,0.05,0.25,0.90,440,6913,3.67,0.00,67.31,208
1.00,5.00,0.80,0.05,0.25,1.00,368,6911,3.40,0.00,69.23,207
1.00,5.00,0.80,0.05,0.50,0.10,2619,6911,4.30,0.00,73.08,294
1.00,5.00,0.80,0.05,0.50,0.20,2253,6905,3.95,1.00,71.15,252
1.00,5.00,0.80,0.05,0.50,0.30,1244,6996,4.26,0.00,73.08,235
1.00,5.00,0.80,0.05,0.50,0.40,824,6911,4.09,0.00,69.23,227
1.00,5.00,0.80,0.05,0.50,0.50,647,6913,4.12,0.00,69.23,220
1.00,5.00,0.80,0.05,0.50,0.60,781,6970,4.18,0.00,69.23,217
1.00,5.00,0.80,0.05,0.50,0.70,686,6996,4.05,0.00,76.92,214
1.00,5.00,0.80,0.05,0.50,0.80,594,6953,4.03,0.00,75.00,215
1.00,5.00,0.80,0.05,0.50,0.90,533,6913,3.83,0.00,69.23,210
1.00,5.00,0.80,0.05,0.50,1.00,373,7012,4.04,0.00,71.15,210
1.00,5.00,0.80,0.05,0.75,0.10,4365,7012,4.58,0.00,71.15,296
1.00,5.00,0.80,0.05,0.75,0.20,2303,6911,4.72,0.00,73.08,252
1.00,5.00,0.80,0.05,0.75,0.30,1593,6953,4.59,0.00,71.15,237
1.00,5.00,0.80,0.05,0.75,0.40,819,6976,4.30,0.00,73.08,226
1.00,5.00,0.80,0.05,0.75,0.50,887,6953,4.73,0.00,73.08,222
1.00,5.00,0.80,0.05,0.75,0.60,665,6996,4.41,0.00,76.92,218
1.00,5.00,0.80,0.05,0.75,0.70,693,6911,4.35,0.00,71.15,216
1.00,5.00,0.80,0.05,0.75,0.80,544,6953,4.50,0.00,73.08,213
1.00,5.00,0.80,0.05,0.75,0.90,453,6996,4.42,0.00,76.92,213
1.00,5.00,0.80,0.05,0.75,1.00,453,6996,4.20,0.00,76.92,211
1.00,5.00,0.80,0.05,1.00,0.10,4384,6970,5.34,0.00,69.23,294
1.00,5.00,0.80,0.05,1.00,0.20,2294,7014,5.13,0.00,71.15,251
1.00,5.00,0.80,0.05,1.00,0.30,1634,7006,5.20,0.00,69.23,235
1.00,5.00,0.80,0.05,1.00,0.40,1197,6996,4.73,0.00,73.08,226
1.00,5.00,0.80,0.05,1.00,0.50,883,6911,4.81,0.00,73.08,220
1.00,5.00,0.80,0.05,1.00,0.60,754,6976,4.96,0.00,73.08,217
1.00,5.00,0.80,0.05,1.00,0.70,541,6976,4.88,0.00,75.00,214
1.00,5.00,0.80,0.05,1.00,0.80,588,7029,4.77,0.00,69.23,212
1.00,5.00,0.80,0.05,1.00,0.90,511,6976,4.64,0.00,75.00,211
1.00,5.00,0.80,0.05,1.00,1.00,465,6998,4.81,0.00,67.31,211
