Metric,Value
Instance,ft53
Dimension,53
Unique found-optimal tours,1
Unique found-optimal edges,53
Found-optimal edge density [%],1.92
Cycle cover cost,5931.000000
Cycle cover gap to known optimum [%],14.11
Cycle cover cycles,8
Cycle cover min cycle length,2
Cycle cover avg cycle length,6.625000
Cycle cover max cycle length,26
Cycle cover edges,53
Cycle cover edge density [%],1.92
Cycle cover found-optimal edges,34
Cycle cover edges not seen in found-optimal tours,19
Cycle cover precision vs found-optimal edges [%],64.15
Cycle cover recall vs found-optimal edges [%],64.15
Cycle cover lift vs found-optimal edge density,33.358491
High CMSA threshold,1.000000
High CMSA edges,28
High CMSA edge density [%],1.02
High CMSA found-optimal edges,15
High CMSA edges not seen in found-optimal tours,13
High CMSA precision vs found-optimal edges [%],53.57
High CMSA recall vs found-optimal edges [%],28.30
High CMSA lift vs found-optimal edge density,27.857143
Cycle cover positive-CMSA edges,35
Cycle cover positive-CMSA edge density [%],1.27
Cycle cover positive-CMSA found-optimal edges,25
Cycle cover positive-CMSA edges not seen in found-optimal tours,10
Cycle cover positive-CMSA precision vs found-optimal edges [%],71.43
Cycle cover positive-CMSA recall vs found-optimal edges [%],47.17
Cycle cover positive-CMSA lift vs found-optimal edge density,37.142857
Cycle cover high-CMSA edges,13
Cycle cover high-CMSA edge density [%],0.47
Cycle cover high-CMSA found-optimal edges,9
Cycle cover high-CMSA edges not seen in found-optimal tours,4
Cycle cover high-CMSA precision vs found-optimal edges [%],69.23
Cycle cover high-CMSA recall vs found-optimal edges [%],16.98
Cycle cover high-CMSA lift vs found-optimal edge density,36.000000
Cycle cover edges with positive CMSA,35
Cycle cover edges with high CMSA,13
High-CMSA edges removed by cycle-cover gate,15
High-CMSA found-optimal edges removed by cycle-cover gate,6
High-CMSA precision gain from cycle-cover gate,0.156593
High-CMSA recall loss from cycle-cover gate,0.113208
Found-optimal edges in both cycle cover and high CMSA,9
Found-optimal edges in cycle cover but not high CMSA,25
Found-optimal edges in high CMSA but not cycle cover,6
Found-optimal edges in neither cycle cover nor high CMSA,13
