Threshold,High MSA support edges,High MSA support precision [%],High MSA support recall [%],High MSA support lift,Cycle-cover high-MSA support edges,Cycle-cover high-MSA support precision [%],Cycle-cover high-MSA support recall [%],Cycle-cover high-MSA support lift,High-MSA support edges removed by cycle cover,High-MSA support found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-MSA support edges [%],Cycle-cover share of high-MSA support found-optimal edges [%]
0.100000,58,43.10,47.17,22.413793,21,76.19,30.19,39.619048,37,9,0.330870,0.169811,36.21,64.00
0.200000,55,43.64,45.28,22.690909,20,75.00,28.30,39.000000,35,9,0.313636,0.169811,36.36,62.50
0.300000,53,43.40,43.40,22.566038,19,73.68,26.42,38.315789,34,9,0.302880,0.169811,35.85,60.87
0.400000,53,43.40,43.40,22.566038,19,73.68,26.42,38.315789,34,9,0.302880,0.169811,35.85,60.87
0.500000,53,43.40,43.40,22.566038,19,73.68,26.42,38.315789,34,9,0.302880,0.169811,35.85,60.87
0.600000,51,45.10,43.40,23.450980,19,73.68,26.42,38.315789,32,9,0.285862,0.169811,37.25,60.87
0.700000,51,45.10,43.40,23.450980,19,73.68,26.42,38.315789,32,9,0.285862,0.169811,37.25,60.87
0.800000,51,45.10,43.40,23.450980,19,73.68,26.42,38.315789,32,9,0.285862,0.169811,37.25,60.87
0.900000,48,47.92,43.40,24.916667,19,73.68,26.42,38.315789,29,9,0.257675,0.169811,39.58,60.87
1.000000,28,53.57,28.30,27.857143,13,69.23,16.98,36.000000,15,6,0.156593,0.113208,46.43,60.00
