Alpha,Beta,Rho,pBest,pCmsa,Ants fraction,Ants number,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min best deviation,Avg best deviation,Max best deviation,Success rate [%],Avg computation time [ms]
1.00,5.00,0.80,0.05,0.50,1.00,53,500,202,372.10,498,1.62,2.88,4.78,0.00,226
1.00,5.00,0.80,0.05,0.25,1.00,53,500,157,404.50,495,0.94,3.12,5.34,0.00,206
1.00,5.00,0.80,0.05,0.25,0.60,32,828,36,495.60,802,0.94,3.40,5.82,0.00,213
1.00,5.00,0.80,0.05,0.25,0.80,43,616,188,443.10,590,1.91,3.43,4.94,0.00,208
1.00,5.00,0.80,0.05,0.25,0.70,38,697,284,533.20,689,0.94,3.46,5.63,0.00,210
1.00,5.00,0.80,0.05,0.25,0.50,27,981,98,638.70,980,1.55,3.65,6.15,0.00,215
1.00,5.00,0.80,0.05,0.50,0.40,22,1204,670,928.40,1153,2.42,3.66,5.34,0.00,228
1.00,5.00,0.80,0.05,1.00,0.50,27,981,742,887.80,977,2.39,3.67,5.56,0.00,220
1.00,5.00,0.80,0.05,0.75,0.70,38,697,323,592.40,686,0.87,3.71,5.55,0.00,221
1.00,5.00,0.80,0.05,0.75,1.00,53,500,318,418.90,498,1.62,3.77,5.73,0.00,214
1.00,5.00,0.80,0.05,0.25,0.20,11,2409,245,1826.60,2334,1.32,3.87,6.91,0.00,248
1.00,5.00,0.80,0.05,0.50,0.60,32,828,396,643.20,789,2.42,3.87,5.56,0.00,221
1.00,5.00,0.80,0.05,0.25,0.90,48,552,119,292.30,502,1.32,3.92,6.30,0.00,207
1.00,5.00,0.80,0.05,0.25,0.40,22,1204,73,790.00,1196,0.09,3.94,6.72,0.00,221
1.00,5.00,0.80,0.05,0.00,0.80,43,616,326,423.50,615,1.39,3.99,7.33,0.00,210
1.00,5.00,0.80,0.05,0.50,0.20,11,2409,1766,2145.30,2394,2.42,4.00,6.08,0.00,250
1.00,5.00,0.80,0.05,0.00,0.90,48,552,81,323.60,528,1.78,4.05,8.37,0.00,206
1.00,5.00,0.80,0.05,0.50,0.50,27,981,299,695.00,940,2.42,4.11,5.60,0.00,234
1.00,5.00,0.80,0.05,0.75,0.50,27,981,754,848.80,980,3.17,4.13,5.05,0.00,224
1.00,5.00,0.80,0.05,0.25,0.10,6,4416,628,2814.30,3974,3.10,4.19,5.58,0.00,290
1.00,5.00,0.80,0.05,0.50,0.70,38,697,268,517.80,689,1.62,4.23,5.47,0.00,217
1.00,5.00,0.80,0.05,1.00,0.60,32,828,628,739.50,824,2.64,4.24,6.56,0.00,217
1.00,5.00,0.80,0.05,0.75,0.40,22,1204,753,1037.20,1193,3.30,4.24,5.20,0.00,231
1.00,5.00,0.80,0.05,0.75,0.20,11,2409,1779,2153.40,2393,2.30,4.27,6.33,0.00,253
1.00,5.00,0.80,0.05,0.00,0.60,32,828,354,622.10,813,1.12,4.33,7.78,0.00,220
1.00,5.00,0.80,0.05,1.00,0.20,11,2409,1736,2133.40,2402,2.11,4.38,5.53,0.00,256
1.00,5.00,0.80,0.05,1.00,1.00,53,500,322,408.30,480,1.64,4.42,6.37,0.00,209
1.00,5.00,0.80,0.05,0.00,0.50,27,981,194,610.80,876,0.14,4.47,7.40,0.00,219
1.00,5.00,0.80,0.05,1.00,0.40,22,1204,834,1105.10,1197,1.43,4.56,7.17,0.00,224
1.00,5.00,0.80,0.05,0.25,0.30,16,1656,296,1198.50,1476,1.43,4.59,10.35,0.00,231
1.00,5.00,0.80,0.05,0.75,0.10,6,4416,2667,3715.60,4286,2.62,4.65,6.02,0.00,301
1.00,5.00,0.80,0.05,0.75,0.90,48,552,440,489.70,551,3.32,4.68,7.56,0.00,214
1.00,5.00,0.80,0.05,0.75,0.60,32,828,468,696.70,816,1.62,4.68,7.56,0.00,229
1.00,5.00,0.80,0.05,0.00,1.00,53,500,66,330.80,489,2.14,4.68,9.08,0.00,203
1.00,5.00,0.80,0.05,1.00,0.90,48,552,436,500.70,551,1.62,4.77,6.11,0.00,210
