Metric,Value
Instance,ft53
Dimension,53
Unique found-optimal tours,1
Unique found-optimal edges,53
Raw MSA support found-optimal edge coverage [%],69.81
Threshold MSA support threshold,0.800000
Threshold MSA support edges,51
Threshold MSA support precision [%],45.10
Threshold MSA support recall [%],43.40
Threshold MSA support lift,23.450980
Top MSA support edges,52
Top MSA support precision [%],44.23
Top MSA support recall [%],43.40
Top MSA support lift,23.000000
Top MSA support avg tour coverage [%],43.40
Top MSA support best tour coverage [%],43.40
