Alpha,Beta,Rho,pCmsa,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
1.00,2.00,0.80,0.30,500,51,307.90,497,0,0.00,0,2.35,5.38,15.19,0.00
1.00,2.00,0.80,0.00,500,48,297.10,495,0,0.00,0,2.48,5.85,10.22,0.00
1.00,2.00,0.80,0.40,500,65,332.73,496,0,0.00,0,1.39,6.02,11.63,0.00
1.00,2.00,0.80,0.80,500,26,334.07,499,0,0.00,0,2.81,6.25,10.98,0.00
1.00,2.00,0.80,0.10,500,44,279.67,490,0,0.00,0,1.14,6.28,12.34,0.00
1.00,2.00,0.80,0.20,500,43,266.43,487,0,0.00,0,2.14,6.29,10.12,0.00
1.00,2.00,0.80,0.70,500,41,297.40,496,0,0.00,0,3.43,6.44,10.28,0.00
1.00,2.00,0.80,0.60,500,43,288.40,498,0,0.00,0,2.93,6.81,11.53,0.00
1.00,2.00,0.80,0.50,500,44,307.97,497,0,0.00,0,2.01,6.90,12.18,0.00
1.00,2.00,0.80,1.00,500,45,311.17,496,0,0.00,0,1.68,7.30,11.66,0.00
1.00,2.00,0.80,0.90,500,76,248.00,465,0,0.00,0,3.24,7.93,15.06,0.00
